;men_unmarried;men_married;men_widowed;men_divorced;women_unmarried;women_married;women_widowed;women_divorced
18.0;0.007942124743189286;7.182763035116744e-07;0.0;0.0;0.007608700883099167;7.182763035116744e-06;0.0;1.4365526070233488e-07
19.0;0.00798292283722875;3.3040709961537023e-06;0.0;0.0;0.007604894018690555;2.858739687976464e-05;0.0;5.746210428093395e-07
20.0;0.00797380072817415;1.0917799813377451e-05;7.182763035116744e-08;4.309657821070046e-07;0.00761811030267517;7.498804608661881e-05;1.4365526070233488e-07;2.5857946926420278e-06
21.0;0.00769870090392918;3.1891467875918344e-05;7.182763035116744e-08;7.901039338628418e-07;0.0074008317208628886;0.00016003196042240105;2.154828910535023e-07;5.243417015635223e-06
22.0;0.00771105525634958;7.599363291153515e-05;0.0;1.7238631284280185e-06;0.007187216348198517;0.0003015323922142009;4.309657821070046e-07;1.0845972183026284e-05
23.0;0.007646266733772828;0.0001546448881460635;0.0;4.453313081772381e-06;0.007100017604952199;0.00048016770889755436;4.309657821070046e-07;2.1117323323243227e-05
24.0;0.007775771951295982;0.00028580214116729523;2.8731052140466976e-07;9.122109054598265e-06;0.00706805430944593;0.0007178453377295673;7.901039338628418e-07;3.6057470436286054e-05
25.0;0.00760891636599022;0.0004543815896014852;4.309657821070046e-07;1.824421810919653e-05;0.006781390236714421;0.001001205339464923;1.2928973463210139e-06;5.078213465827538e-05
26.0;0.007493633019276596;0.0006705827569584992;2.154828910535023e-07;2.5570636405015608e-05;0.006500903340193111;0.0013250042970879858;2.083001280183856e-06;8.130887755752154e-05
27.0;0.007264071912674266;0.0009635676611609112;5.027934124581721e-07;4.2809267689295795e-05;0.0062219966515395285;0.0017007346314549426;2.083001280183856e-06;0.00011485238093151674
28.0;0.0069680702479971044;0.001291676276605044;2.8731052140466976e-07;6.44293844249972e-05;0.0057914618352146304;0.0021163293006667976;3.2322433658025347e-06;0.00015241823160517731
29.0;0.006318963952513604;0.0015989548792473384;7.901039338628418e-07;8.89226063747453e-05;0.005216194343732131;0.0024496813331265654;3.160415735451367e-06;0.00018962494412708204
30.0;0.0058964738307880375;0.0019253396315630433;1.149242085618679e-06;0.00011219475860852354;0.004774957210484909;0.0027572472462902647;5.1715893852840556e-06;0.00023106948683970565
31.0;0.0055252686371332045;0.0022721234308984797;1.3647249766721814e-06;0.00014832405667516076;0.00440339287867832;0.0030498011847105693;6.320831470902734e-06;0.0002803432412606065
32.0;0.005090352335356885;0.0025829934150583323;2.083001280183856e-06;0.00017949724824756742;0.004107894007413617;0.0033159225551616447;8.906626163544762e-06;0.0003364406205648683
33.0;0.004704135166958658;0.002767303114539428;2.5139670622908602e-06;0.00022596972508477276;0.003764557934335037;0.0034367366294123084;1.0127695879514609e-05;0.0003794653711452176
34.0;0.004365683372743957;0.00296676844402462;3.160415735451367e-06;0.00025664012324472127;0.00348112610496933;0.0035362897250790265;9.840385358109938e-06;0.0004266561242859346
35.0;0.004029242752179089;0.003038380591484734;4.022347299665377e-06;0.00028580214116729523;0.003216944080537736;0.0035734964376009314;1.4078215548828818e-05;0.0004769354655317518
36.0;0.0038468005710871234;0.0032035123136620676;4.166002560367712e-06;0.0003324182732652029;0.0030558347056600676;0.003705874760338133;1.5227457634447497e-05;0.000517805387201566
37.0;0.003713991282567815;0.003372522727878365;6.320831470902734e-06;0.00037242626337080317;0.0029798410727485325;0.003907854056885616;1.8459701000250032e-05;0.0005769195269805769
38.0;0.00361831687894006;0.003543400660483792;6.320831470902734e-06;0.0004206944309667877;0.0028793542178872492;0.004011357672221648;2.2625703560617742e-05;0.0006514766072850887
39.0;0.0033278459417999387;0.003527598581806535;8.260177490384256e-06;0.0004538069685586759;0.0026707667793474587;0.0039525308429640416;2.6001602187122613e-05;0.0006860975251143514
40.0;0.00317779802199635;0.0036066089751928196;1.0199523509865776e-05;0.0005101198307539912;0.002575666996762513;0.003989019279182435;3.1891467875918344e-05;0.0007509578753214556
41.0;0.0030176224063132467;0.0036145100145314477;1.0055868249163441e-05;0.0005379889513302442;0.002401772303682337;0.004022993748338537;2.9305673183276316e-05;0.0008050440809758846
42.0;0.0029626742690946036;0.0037262738073578646;1.2785318202507804e-05;0.0005822347716265633;0.0023164410788251498;0.004078013713187532;4.000799010560026e-05;0.0008518756959648459
