new_name;labels;ch20m_EN_1.0p.dta;ch19l_EN_1.0p.dta;ch18k_EN_1.0p.dta;ch17j_EN_1.0p.dta;ch16i_EN_1.0p.dta;ch15h_EN_1.2p.dta;ch13g_EN_1.0p.dta;ch12f_EN_1.0p.dta;ch11e_EN_1.0p.dta;ch10d_EN_1.0p.dta;ch09c_EN_1.1p.dta;ch08b_EN_1.3p.dta;ch07a_2p_EN.dta;type;categories_english;ordered
health_general;How would you describe your health, generally speaking?;ch20m004;ch19l004;ch18k004;ch17j004;ch16i004;ch15h004;ch13g004;ch12f004;ch11e004;ch10d004;ch09c004;ch08b004;ch07a004;category;poor|moderate|good|very good|excellent;True
health_compare;Can you indicate whether your health is poorer or better, compared to last year?;ch20m005;ch19l005;ch18k005;ch17j005;ch16i005;ch15h005;ch13g005;ch12f005;ch11e005;ch10d005;ch09c005;ch08b005;ch07a005;category;considerably poorer|somewhat poorer|the same|somewhat better|considerably better;True
feel_anxious;I felt very anxious;ch20m011;ch19l011;ch18k011;ch17j011;ch16i011;ch15h011;ch13g011;ch12f011;ch11e011;ch10d011;ch09c011;ch08b011;ch07a011;category;never|rarely|sometimes|often|mostly|continuously;True
feel_down;I felt so down that nothing could cheer me up;ch20m012;ch19l012;ch18k012;ch17j012;ch16i012;ch15h012;ch13g012;ch12f012;ch11e012;ch10d012;ch09c012;ch08b012;ch07a012;category;never|rarely|sometimes|often|mostly|continuously;True
feel_calm;I felt calm and peaceful;ch20m013;ch19l013;ch18k013;ch17j013;ch16i013;ch15h013;ch13g013;ch12f013;ch11e013;ch10d013;ch09c013;ch08b013;ch07a013;category;never|rarely|sometimes|often|mostly|continuously;True
feel_depressed;I felt depressed and gloomy;ch20m014;ch19l014;ch18k014;ch17j014;ch16i014;ch15h014;ch13g014;ch12f014;ch11e014;ch10d014;ch09c014;ch08b014;ch07a014;category;never|rarely|sometimes|often|mostly|continuously;True
feel_happy;I felt happy;ch20m015;ch19l015;ch18k015;ch17j015;ch16i015;ch15h015;ch13g015;ch12f015;ch11e015;ch10d015;ch09c015;ch08b015;ch07a015;category;never|rarely|sometimes|often|mostly|continuously;True
height;How tall are you?;ch20m016;ch19l016;ch18k016;ch17j016;ch16i016;ch15h016;ch13g016;ch12f016;ch11e016;ch10d016;ch09c016;ch08b016;ch07a016;int;;
weight;How much do you weigh, without clothes and shoes?;ch20m017;ch19l017;ch18k017;ch17j017;ch16i017;ch15h017;ch13g017;ch12f017;ch11e017;ch10d017;ch09c017;ch08b017;ch07a017;int;;
chronic_ill;Do you suffer from any kind of long-standing disease, affliction or handicap, or;ch20m018;ch19l018;ch18k018;ch17j018;ch16i018;ch15h018;ch13g018;ch12f018;ch11e018;ch10d018;ch09c018;ch08b018;ch07a018;boolean;;
desc_chronic_ill;Can you briefly describe what you suffer from?;ch20m019;ch19l019;ch18k019;ch17j019;ch16i019;ch15h019;ch13g019;ch12f019;ch11e019;ch10d019;ch09c019;ch08b019;ch07a019;object;;
hinder_daily;To what extent did your physical health or emotional problems hinder your daily;ch20m020;ch19l020;ch18k020;ch17j020;ch16i020;ch15h020;ch13g020;ch12f020;ch11e020;ch10d020;ch09c020;ch08b020;ch07a020;category;not at all|hardly|a bit|quite a lot|very much;True
hinder_social;To what extent did your physical health or emotional problems hinder your social;ch20m021;ch19l021;ch18k021;ch17j021;ch16i021;ch15h021;ch13g021;ch12f021;ch11e021;ch10d021;ch09c021;ch08b021;ch07a021;category;not at all|hardly|a bit|quite a lot|very much;True
