new_name;labels;cr19l_EN_1.0p.dta;cr18k_EN_1.0p.dta;cr17j_EN_1.0p.dta;cr16i_1.0p_EN.dta;cr15h_1.0p_EN.dta;cr14g_1.0p_EN.dta;cr13f_1.0p_EN.dta;cr12e_1.0p_EN.dta;cr11d_EN_1.0p.dta;cr10c_EN_1.0p.dta;cr09b_EN_1.0p.dta;cr08a_1p_EN.dta
;Preloaded variable: main activity (belbezig);;cr18k001;cr17j001;cr16i001;cr15h001;cr14g001;cr13f001;cr12e001;cr11d001;cr10c001;cr09b001;cr08a001
member_religion_parent;When you were 15 years old / Were you raised within a certain faith?;cr19l134;cr18k002;cr17j002;cr16i002;cr15h002;cr14g002;cr13f002;cr12e002;cr11d002;cr10c002;cr09b002;cr08a002
member_religion_parent_cat;Of which religion or church community did they consider themselves a member? / Which faith was that?;cr19l135;cr18k003;cr17j003;cr16i003;cr15h003;cr14g003;cr13f003;cr12e003;cr11d003;cr10c003;cr09b003;cr08a003
;Of which religion or church community did your parents consider themselves a mem / Which denomination or congregation within the Dutch Reformed Church was that?;cr19l136;cr18k004;cr17j004;cr16i004;cr15h004;cr14g004;cr13f004;cr12e004;cr11d004;cr10c004;cr09b004;cr08a004
;Of which religion or church community did your parents consider themselves a mem;;cr18k005;cr17j005;cr16i005;cr15h005;cr14g005;cr13f005;cr12e005;cr11d005;cr10c005;cr09b005;cr08a005
;What other direction of the Dutch Reformed Church do you mean?;cr19l137;cr18k006;cr17j006;cr16i006;cr15h006;cr14g006;cr13f006;cr12e006;cr11d006;cr10c006;cr09b006;cr08a006
;What other direction of the Reformed Churches in the Netherlands do you mean?;;cr18k007;cr17j007;cr16i007;cr15h007;cr14g007;cr13f007;cr12e007;cr11d007;cr10c007;cr09b007;cr08a007
;What other Christian church community do you mean?;cr19l140;cr18k008;cr17j008;cr16i008;cr15h008;cr14g008;cr13f008;cr12e008;cr11d008;cr10c008;cr09b008;cr08a008
;What other Eastern religion do you mean?;cr19l139;cr18k009;cr17j009;cr16i009;cr15h009;cr14g009;cr13f009;cr12e009;cr11d009;cr10c009;cr09b009;cr08a009
;What other non-Christian religion do you mean?;cr19l141;cr18k010;cr17j010;cr16i010;cr15h010;cr14g010;cr13f010;cr12e010;cr11d010;cr10c010;cr09b010;cr08a010
attendance_religious_parent;When you were 15 years old, how often did you attend church or other religious gatherings?;cr19l142;cr18k011;cr17j011;cr16i011;cr15h011;cr14g011;cr13f011;cr12e011;cr11d011;cr10c011;cr09b011;cr08a011
member_religion;Do you consider yourself a member of a certain religion or church community?;cr19l143;cr18k012;cr17j012;cr16i012;cr15h012;cr14g012;cr13f012;cr12e012;cr11d012;cr10c012;cr09b012;cr08a012
member_religion_cat;Of which religion or church community are you a member?;cr19l144;cr18k013;cr17j013;cr16i013;cr15h013;cr14g013;cr13f013;cr12e013;cr11d013;cr10c013;cr09b013;cr08a013
;Of which religion or church community are you a member?: Dutch Reformed;cr19l145;cr18k014;cr17j014;cr16i014;cr15h014;cr14g014;cr13f014;cr12e014;cr11d014;cr10c014;cr09b014;cr08a014
;Of which religion or church community are you a member?:  Reformed Churches in t;;cr18k015;cr17j015;cr16i015;cr15h015;cr14g015;cr13f015;cr12e015;cr11d015;cr10c015;cr09b015;cr08a015
;What other direction of the Dutch Reformed Church do you mean?;cr19l146;cr18k016;cr17j016;cr16i016;cr15h016;cr14g016;cr13f016;cr12e016;cr11d016;cr10c016;cr09b016;cr08a016
;What other direction of the Reformed Churches in the Netherlands do you mean?;;cr18k017;cr17j017;cr16i017;cr15h017;cr14g017;cr13f017;cr12e017;cr11d017;cr10c017;cr09b017;cr08a017
;What other Christian church community do you mean?;cr19l150;cr18k018;cr17j018;cr16i018;cr15h018;cr14g018;cr13f018;cr12e018;cr11d018;cr10c018;cr09b018;cr08a018
;What other Eastern religion do you mean?;cr19l149;cr18k019;cr17j019;cr16i019;cr15h019;cr14g019;cr13f019;cr12e019;cr11d019;cr10c019;cr09b019;cr08a019
;What other non-Christian religion do you mean?;cr19l151;cr18k020;cr17j020;cr16i020;cr15h020;cr14g020;cr13f020;cr12e020;cr11d020;cr10c020;cr09b020;cr08a020
member_religion_past;Have you ever considered yourself member of a certain religion or church communi;;cr18k021;cr17j021;cr16i021;cr15h021;cr14g021;cr13f021;cr12e021;cr11d021;cr10c021;cr09b021;cr08a021
member_religion_past_cat;Of which religion or church community did you consider yourself a member?;;cr18k022;cr17j022;cr16i022;cr15h022;cr14g022;cr13f022;cr12e022;cr11d022;cr10c022;cr09b022;cr08a022
;Of which religion or church community did you consider yourself a member?: Dutch;;cr18k023;cr17j023;cr16i023;cr15h023;cr14g023;cr13f023;cr12e023;cr11d023;cr10c023;cr09b023;cr08a023
;Of which religion or church community did you consider yourself a member?: Refor;;cr18k024;cr17j024;cr16i024;cr15h024;cr14g024;cr13f024;cr12e024;cr11d024;cr10c024;cr09b024;cr08a024
;What other direction of the Dutch Reformed Church do you mean?;;cr18k025;cr17j025;cr16i025;cr15h025;cr14g025;cr13f025;cr12e025;cr11d025;cr10c025;cr09b025;cr08a025
;What other direction of the Reformed Churches in the Netherlands do you mean?;;cr18k026;cr17j026;cr16i026;cr15h026;cr14g026;cr13f026;cr12e026;cr11d026;cr10c026;cr09b026;cr08a026
;What other Christian church community do you mean?;;cr18k027;cr17j027;cr16i027;cr15h027;cr14g027;cr13f027;cr12e027;cr11d027;cr10c027;cr09b027;cr08a027
;What other Eastern religion do you mean?;;cr18k028;cr17j028;cr16i028;cr15h028;cr14g028;cr13f028;cr12e028;cr11d028;cr10c028;cr09b028;cr08a028
;What other non-Christian religion do you mean?;;cr18k029;cr17j029;cr16i029;cr15h029;cr14g029;cr13f029;cr12e029;cr11d029;cr10c029;cr09b029;cr08a029
believe_god;Which of the following statements best matches your idea of God?;cr19l030;cr18k030;cr17j030;cr16i030;cr15h030;cr14g030;cr13f030;cr12e030;cr11d030;cr10c030;cr09b030;cr08a030
believe_after_death;Do you believe in a life after death?;cr19l031;cr18k031;cr17j031;cr16i031;cr15h031;cr14g031;cr13f031;cr12e031;cr11d031;cr10c031;cr09b031;cr08a031
believe_heaven;Do you believe in the existence of heaven?;;cr18k032;cr17j032;cr16i032;cr15h032;cr14g032;cr13f032;cr12e032;cr11d032;cr10c032;cr09b032;cr08a032
believe_purgatory;Do you believe in purgatory?;;cr18k033;cr17j033;cr16i033;cr15h033;cr14g033;cr13f033;cr12e033;cr11d033;cr10c033;cr09b033;cr08a033
believe_hell;Do you believe in hell?;;cr18k034;cr17j034;cr16i034;cr15h034;cr14g034;cr13f034;cr12e034;cr11d034;cr10c034;cr09b034;cr08a034
believe_devil;Do you believe in a devil?;;cr18k035;cr17j035;cr16i035;cr15h035;cr14g035;cr13f035;cr12e035;cr11d035;cr10c035;cr09b035;cr08a035
believe_adam_eve;Do you believe Adam and Eve existed?;;cr18k036;cr17j036;cr16i036;cr15h036;cr14g036;cr13f036;cr12e036;cr11d036;cr10c036;cr09b036;cr08a036
acknowledge_bible;Do you see the Bible as the word of God?;;cr18k037;cr17j037;cr16i037;cr15h037;cr14g037;cr13f037;cr12e037;cr11d037;cr10c037;cr09b037;cr08a037
acknowledge_koran;Do you see the Koran as the word of God?;;cr18k038;cr17j038;cr16i038;cr15h038;cr14g038;cr13f038;cr12e038;cr11d038;cr10c038;cr09b038;cr08a038
