new_name;labels;cs19l_EN_1.0p.dta;cs18k_EN_1.0p.dta;cs17j_EN_1.0p.dta;cs16i_EN_1.0p.dta;cs15h_EN_1.0p.dta;cs14g_EN_1.0.dta;cs13f_1.0p_EN.dta;cs12e_1.0p_EN.dta;cs11d_EN_3.0p.dta;cs10c_1p_EN.dta;cs09b_1p_EN.dta;cs08a_2p_EN.dta
satisfied_ltamount;How satisfied are you with the amount of leisure time that you have?;cs19l001;cs18k001;cs17j001;cs16i001;cs15h001;cs14g001;cs13f001;cs12e001;cs11d001;cs10c001;cs09b001;cs08a001
satisfied_ltway;How satisfied are you with the way in which you spend your leisure time?;cs19l002;cs18k002;cs17j002;cs16i002;cs15h002;cs14g002;cs13f002;cs12e002;cs11d002;cs10c002;cs09b002;cs08a002
no_sportclub;a sports club or club for outdoor activities no connection;cs19l003;cs18k003;cs17j003;cs16i003;cs15h003;cs14g003;cs13f003;cs12e003;cs11d003;cs10c003;cs09b003;cs08a003
benefactor_sportclub;a sports club or club for outdoor activities donated money;cs19l004;cs18k004;cs17j004;cs16i004;cs15h004;cs14g004;cs13f004;cs12e004;cs11d004;cs10c004;cs09b004;cs08a004
participant_sportclub;a sports club or club for outdoor activities participated in an activity;cs19l005;cs18k005;cs17j005;cs16i005;cs15h005;cs14g005;cs13f005;cs12e005;cs11d005;cs10c005;cs09b005;cs08a005
member_sportclub;a sports club or club for outdoor activities member;cs19l006;cs18k006;cs17j006;cs16i006;cs15h006;cs14g006;cs13f006;cs12e006;cs11d006;cs10c006;cs09b006;cs08a006
volunteer_sportclub;a sports club or club for outdoor activities performed voluntary work;cs19l007;cs18k007;cs17j007;cs16i007;cs15h007;cs14g007;cs13f007;cs12e007;cs11d007;cs10c007;cs09b007;cs08a007
no_cultural;a cultural association or hobby club no connection;cs19l008;cs18k008;cs17j008;cs16i008;cs15h008;cs14g008;cs13f008;cs12e008;cs11d008;cs10c008;cs09b008;cs08a008
benefactor_cultural;a cultural association or hobby club donated money;cs19l009;cs18k009;cs17j009;cs16i009;cs15h009;cs14g009;cs13f009;cs12e009;cs11d009;cs10c009;cs09b009;cs08a009
participant_cultural;a cultural association or hobby club participated in an activity;cs19l010;cs18k010;cs17j010;cs16i010;cs15h010;cs14g010;cs13f010;cs12e010;cs11d010;cs10c010;cs09b010;cs08a010
member_cultural;a cultural association or hobby club member;cs19l011;cs18k011;cs17j011;cs16i011;cs15h011;cs14g011;cs13f011;cs12e011;cs11d011;cs10c011;cs09b011;cs08a011
volunteer_cultural;a cultural association or hobby club performed voluntary work;cs19l012;cs18k012;cs17j012;cs16i012;cs15h012;cs14g012;cs13f012;cs12e012;cs11d012;cs10c012;cs09b012;cs08a012
no_tradeunion;a trade union no connection;cs19l013;cs18k013;cs17j013;cs16i013;cs15h013;cs14g013;cs13f013;cs12e013;cs11d013;cs10c013;cs09b013;cs08a013
benefactor_tradeunion;a trade union donated money;cs19l014;cs18k014;cs17j014;cs16i014;cs15h014;cs14g014;cs13f014;cs12e014;cs11d014;cs10c014;cs09b014;cs08a014
participant_tradeunion;a trade union participated in an activity;cs19l015;cs18k015;cs17j015;cs16i015;cs15h015;cs14g015;cs13f015;cs12e015;cs11d015;cs10c015;cs09b015;cs08a015
member_tradeunion;a trade union member;cs19l016;cs18k016;cs17j016;cs16i016;cs15h016;cs14g016;cs13f016;cs12e016;cs11d016;cs10c016;cs09b016;cs08a016
volunteer_tradeunion;a trade union performed voluntary work;cs19l017;cs18k017;cs17j017;cs16i017;cs15h017;cs14g017;cs13f017;cs12e017;cs11d017;cs10c017;cs09b017;cs08a017
no_business;a business professional or agrarian organization no connection;cs19l018;cs18k018;cs17j018;cs16i018;cs15h018;cs14g018;cs13f018;cs12e018;cs11d018;cs10c018;cs09b018;cs08a018
benefactor_business;a business professional or agrarian organization donated money;cs19l019;cs18k019;cs17j019;cs16i019;cs15h019;cs14g019;cs13f019;cs12e019;cs11d019;cs10c019;cs09b019;cs08a019
participant_business;a business professional or agrarian organization participated in an activity;cs19l020;cs18k020;cs17j020;cs16i020;cs15h020;cs14g020;cs13f020;cs12e020;cs11d020;cs10c020;cs09b020;cs08a020
member_business;a business professional or agrarian organization member;cs19l021;cs18k021;cs17j021;cs16i021;cs15h021;cs14g021;cs13f021;cs12e021;cs11d021;cs10c021;cs09b021;cs08a021
volunteer_business;a business professional or agrarian organization performed voluntary work;cs19l022;cs18k022;cs17j022;cs16i022;cs15h022;cs14g022;cs13f022;cs12e022;cs11d022;cs10c022;cs09b022;cs08a022
no_consumerorg;a consumers organization or automobile club no connection;cs19l023;cs18k023;cs17j023;cs16i023;cs15h023;cs14g023;cs13f023;cs12e023;cs11d023;cs10c023;cs09b023;cs08a023
benefactor_consumerorg;a consumers organization or automobile club donated money;cs19l024;cs18k024;cs17j024;cs16i024;cs15h024;cs14g024;cs13f024;cs12e024;cs11d024;cs10c024;cs09b024;cs08a024
