new_name;labels;cf19l_EN_1.0p.dta;cf18k_EN_1.0p.dta;cf17j_EN_1.0p.dta;cf16i_EN_1.0p.dta;cf15h_EN_1.0p.dta;cf14g_EN_1.1p.dta;cf13f_EN_1.1p_corrected.dta;cf12e_EN_2.1p.dta;cf11d_EN_1.1p.dta;cf10c_EN_1.0p.dta;cf09b_EN_2.2p.dta;cf08a_2p_EN.dta
random_child;Randomly selected child;cf19l001;cf18k001;cf17j001;cf16i001;cf15h001;cf14g001;cf13f001;cf12e001;cf11d001;cf10c001;cf09b001;cf08a001
random_birth;Year of birth of randomly selected child;cf19l002;cf18k002;cf17j002;cf16i002;cf15h002;cf14g002;cf13f002;cf12e002;cf11d002;cf10c002;cf09b002;cf08a002
gender;Gender respondent;cf19l003;cf18k003;cf17j003;cf16i003;cf15h003;cf14g003;cf13f003;cf12e003;cf11d003;cf10c003;cf09b003;cf08a003
age;Age respondent;cf19l004;cf18k004;cf17j004;cf16i004;cf15h004;cf14g004;cf13f004;cf12e004;cf11d004;cf10c004;cf09b004;cf08a004
father_birth;What is the year of birth of your father?;cf19l005;cf18k005;cf17j005;cf16i005;cf15h005;cf14g005;cf13f005;cf12e005;cf11d005;cf10c005;cf09b005;cf08a005
father_birth_period;Can you perhaps indicate the period in which your biological father was born?;cf19l449;cf18k449;cf17j449;cf16i449;cf15h449;cf14g006;cf13f006;cf12e006;cf11d006;cf10c006;cf09b006;cf08a006
father_alive;Is your father still alive?;cf19l007;cf18k007;cf17j007;cf16i007;cf15h007;cf14g007;cf13f007;cf12e007;cf11d007;cf10c007;cf09b007;cf08a007
father_died;In what year did your father pass away?;cf19l008;cf18k008;cf17j008;cf16i008;cf15h008;cf14g008;cf13f008;cf12e008;cf11d008;cf10c008;cf09b008;cf08a008
mother_birth;What is the year of birth of your mother?;cf19l009;cf18k009;cf17j009;cf16i009;cf15h009;cf14g009;cf13f009;cf12e009;cf11d009;cf10c009;cf09b009;cf08a009
mother_birth_period;Can you perhaps indicate the period in which your biological mother was born?;cf19l450;cf18k450;cf17j450;cf16i450;cf15h450;cf14g010;cf13f010;cf12e010;cf11d010;cf10c010;cf09b010;cf08a010
mother_alive;Is your mother still alive?;cf19l011;cf18k011;cf17j011;cf16i011;cf15h011;cf14g011;cf13f011;cf12e011;cf11d011;cf10c011;cf09b011;cf08a011
mother_died;In what year did your mother pass away?;cf19l012;cf18k012;cf17j012;cf16i012;cf15h012;cf14g012;cf13f012;cf12e012;cf11d012;cf10c012;cf09b012;cf08a012
parents_divorce;Did your own parents ever divorce?;cf19l013;cf18k013;cf17j013;cf16i013;cf15h013;cf14g013;cf13f013;cf12e013;cf11d013;cf10c013;cf09b013;cf08a013
parents_divorce_age;How old were you when your parents separated?;cf19l014;cf18k014;cf17j014;cf16i014;cf15h014;cf14g014;cf13f014;cf12e014;cf11d014;cf10c014;cf09b014;cf08a014
father_partner;Is your father currently living together with a partner?;cf19l015;cf18k015;cf17j015;cf16i015;cf15h015;cf14g015;cf13f015;cf12e015;cf11d015;cf10c015;cf09b015;cf08a015
