new_name;labels;L_WorkSchooling_wave13_SectorProfHours_03p.dta;cw19l_EN_1.1p.dta;cw18k_EN_1.0p.dta;cw17j_EN_1.0p.dta;cw16i_EN_1.0p.dta;cw15h_EN_1.0p.dta;cw14g_EN_1.0p.dta;cw13f_EN_1.0p.dta;cw12e_EN_1.0p.dta;cw11d_EN_1.0p.dta;cw10c_EN_1.0p.dta;cw09b_EN_3.0p.dta;cw08a_1.1p_EN.dta;type;categories_english;ordered
paid_work_box;respondent has paid work according to household box data;;cw19l000;cw18k000;cw17j000;cw16i000;cw15h000;cw14g000;cw13f000;cw12e000;cw11d000;cw10c000;cw09b000;cw08a000;boolean;;
paid_work;Does the respondent have paid work?;;cw19l001;cw18k001;cw17j001;cw16i001;cw15h001;cw14g001;cw13f001;cw12e001;cw11d001;cw10c001;cw09b001;cw08a001;boolean;;
year_birth;respondents year of birth;;cw19l002;cw18k002;cw17j002;cw16i002;cw15h002;cw14g002;cw13f002;cw12e002;cw11d002;cw10c002;cw09b002;cw08a002;int;;
age;respondent's age;;cw19l003;cw18k003;cw17j003;cw16i003;cw15h003;cw14g003;cw13f003;cw12e003;cw11d003;cw10c003;cw09b524;cw08a003;int;;
satisfaction_education;We first would like to hear how satisfied you are with the schooling that you ha;;;cw18k004;cw17j004;cw16i004;cw15h004;cw14g004;cw13f004;cw12e004;cw11d004;cw10c004;cw09b004;cw08a004;category;0|1|2|3|4|5|6|7|8|9|10;True
highest_diploma;What is the highest level of education that you have completed with diploma or c;;;cw18k005;cw17j005;cw16i005;cw15h005;cw14g005;cw13f005;cw12e005;cw11d005;cw10c005;cw09b005;cw08a005;category;;
highest_diploma_other1;What then is the highest level of education that you have completed with diploma;;cw19l006;cw18k006;cw17j006;cw16i006;cw15h006;cw14g006;cw13f006;cw12e006;cw11d006;cw10c006;cw09b006;cw08a006;category;;
highest_diploma_other2;What then is the highest level of education that you have completed (with diplom;;;cw18k007;cw17j007;cw16i007;cw15h007;cw14g007;cw13f007;cw12e007;cw11d007;cw10c007;cw09b007;cw08a007;object;;
highest_attended;What is the highest level of education that you have attended and for which you;;cw19l008;cw18k008;cw17j008;cw16i008;cw15h008;cw14g008;cw13f008;cw12e008;cw11d008;cw10c008;cw09b008;cw08a008;category;;
highest_attended_other1;What then is the highest level of education that you have completed with or with;;cw19l009;cw18k009;cw17j009;cw16i009;cw15h009;cw14g009;cw13f009;cw12e009;cw11d009;cw10c009;cw09b009;cw08a009;category;;
highest_attended_other2;What then is the highest level of education that you have completed with or with;;;cw18k010;cw17j010;cw16i010;cw15h010;cw14g010;cw13f010;cw12e010;cw11d010;cw10c010;cw09b010;cw08a010;object;;
field_general;In what field did you complete your highest level of education?  -General or no;;cw19l011;cw18k011;cw17j011;cw16i011;cw15h011;cw14g011;cw13f011;cw12e011;cw11d011;cw10c011;cw09b011;cw08a011;boolean;;
field_teacher;In what field did you complete your highest level of education? - Teacher traini;;cw19l012;cw18k012;cw17j012;cw16i012;cw15h012;cw14g012;cw13f012;cw12e012;cw11d012;cw10c012;cw09b012;cw08a012;boolean;;
field_art;In what field did you complete your highest level of education? - Art;;cw19l013;cw18k013;cw17j013;cw16i013;cw15h013;cw14g013;cw13f013;cw12e013;cw11d013;cw10c013;cw09b013;cw08a013;boolean;;
field_humanities;In what field did you complete your highest level of education? - Humanities (mo;;cw19l014;cw18k014;cw17j014;cw16i014;cw15h014;cw14g014;cw13f014;cw12e014;cw11d014;cw10c014;cw09b014;cw08a014;boolean;;
field_social;In what field did you complete your highest level of education? - Social and beh;;cw19l015;cw18k015;cw17j015;cw16i015;cw15h015;cw14g015;cw13f015;cw12e015;cw11d015;cw10c015;cw09b015;cw08a015;boolean;;
field_econ;In what field did you complete your highest level of education? - Economics, man;;cw19l016;cw18k016;cw17j016;cw16i016;cw15h016;cw14g016;cw13f016;cw12e016;cw11d016;cw10c016;cw09b016;cw08a016;boolean;;
field_law;In what field did you complete your highest level of education? - Law, public ad;;cw19l017;cw18k017;cw17j017;cw16i017;cw15h017;cw14g017;cw13f017;cw12e017;cw11d017;cw10c017;cw09b017;cw08a017;boolean;;
field_math;In what field did you complete your highest level of education? - Mathematics, p;;cw19l018;cw18k018;cw17j018;cw16i018;cw15h018;cw14g018;cw13f018;cw12e018;cw11d018;cw10c018;cw09b018;cw08a018;boolean;;
field_tech;In what field did you complete your highest level of education? - Technology (in;;cw19l019;cw18k019;cw17j019;cw16i019;cw15h019;cw14g019;cw13f019;cw12e019;cw11d019;cw10c019;cw09b019;cw08a019;boolean;;
field_agriculture;In what field did you complete your highest level of education? - Agriculture, f;;cw19l020;cw18k020;cw17j020;cw16i020;cw15h020;cw14g020;cw13f020;cw12e020;cw11d020;cw10c020;cw09b020;cw08a020;boolean;;
field_medical;In what field did you complete your highest level of education? - Medical, healt;;cw19l021;cw18k021;cw17j021;cw16i021;cw15h021;cw14g021;cw13f021;cw12e021;cw11d021;cw10c021;cw09b021;cw08a021;boolean;;
field_personal;In what field did you complete your highest level of education? - Personal care;;cw19l022;cw18k022;cw17j022;cw16i022;cw15h022;cw14g022;cw13f022;cw12e022;cw11d022;cw10c022;cw09b022;cw08a022;boolean;;
field_horeca;In what field did you complete your highest level of education? - Catering, recr;;cw19l023;cw18k023;cw17j023;cw16i023;cw15h023;cw14g023;cw13f023;cw12e023;cw11d023;cw10c023;cw09b023;cw08a023;boolean;;
field_transport;In what field did you complete your highest level of education? - Transport, log;;cw19l024;cw18k024;cw17j024;cw16i024;cw15h024;cw14g024;cw13f024;cw12e024;cw11d024;cw10c024;cw09b024;cw08a024;boolean;;
field_communication;In what field did you complete your highest level of education? - Telecommunicat;;cw19l025;cw18k025;cw17j025;cw16i025;cw15h025;cw14g025;cw13f025;cw12e025;cw11d025;cw10c025;cw09b025;cw08a025;boolean;;
field_public;In what field did you complete your highest level of education? - Public order a;;cw19l026;cw18k026;cw17j026;cw16i026;cw15h026;cw14g026;cw13f026;cw12e026;cw11d026;cw10c026;cw09b026;cw08a026;boolean;;
field_other;In what field did you complete your highest level of education? - Other area;;cw19l027;cw18k027;cw17j027;cw16i027;cw15h027;cw14g027;cw13f027;cw12e027;cw11d027;cw10c027;cw09b027;cw08a027;boolean;;
field_none;In what field did you complete your highest level of education? - I don't know;;cw19l028;cw18k028;cw17j028;cw16i028;cw15h028;cw14g028;cw13f028;cw12e028;cw11d028;cw10c028;cw09b028;cw08a028;boolean;;
field_other_specified;What other area do you mean?;;cw19l029;cw18k029;cw17j029;cw16i029;cw15h029;cw14g029;cw13f029;cw12e029;cw11d029;cw10c029;cw09b029;cw08a029;object;;
edu_match;Please indicate on a scale from 0 to 10 how your highest level of education suit;;;cw18k030;cw17j030;cw16i030;cw15h030;cw14g030;cw13f030;cw12e030;cw11d030;cw10c030;cw09b030;cw08a030;category;0|1|2|3|4|5|6|7|8|9|10;True
edu_level;Which of these statements best describes your situation? My education ;;cw19l031;cw18k031;cw17j031;cw16i031;cw15h031;cw14g031;cw13f031;cw12e031;cw11d031;cw10c031;cw09b031;cw08a031;category;is approximately at the level required by my work|is higher than the level required by my work|is lower than the level required by my work|is for another kind of work than for my current work|has become outdated because the work has changed|has no relation at all to my current work|is insufficiently geared to the work practice;False
knowledge_match;Please indicate on a scale from 0 to 10 how your knowledge and skills suit the w;;;cw18k032;cw17j032;cw16i032;cw15h032;cw14g032;cw13f032;cw12e032;cw11d032;cw10c032;cw09b032;cw08a032;category;0|1|2|3|4|5|6|7|8|9|10;True
knowledge_level;Which of the statements below best describes your situation? My knowledge and sk;;cw19l033;cw18k033;cw17j033;cw16i033;cw15h033;cw14g033;cw13f033;cw12e033;cw11d033;cw10c033;cw09b033;cw08a033;category;are approximately at the level required by my work|are higher than the level required by my work|are lower than the level required by my work|are for another kind of work than for my current work|have become outdated because the work has changed|have no relation at all to my current work|are insufficiently geared to the work practice;False
knowledge_problem;Can you indicate on a scale from 0 to 10 whether your knowledge and skills creat;;;cw18k034;cw17j034;cw16i034;cw15h034;cw14g034;cw13f034;cw12e034;cw11d034;cw10c034;cw09b034;cw08a034;category;0|1|2|3|4|5|6|7|8|9|10;True
course;Have you, in the past 12 months, followed any educational programs or courses or;;cw19l035;cw18k035;cw17j035;cw16i035;cw15h035;cw14g035;cw13f035;cw12e035;cw11d035;cw10c035;cw09b035;cw08a035;boolean;;
course_amount;How many of such programs or courses are you following or have you followed over;;;cw18k036;cw17j036;cw16i036;cw15h036;cw14g036;cw13f036;cw12e036;cw11d036;cw10c036;cw09b036;cw08a036;int;;
course1_discipline;Can you provide an indication of the type, the discipline and, if applicable, th;;;cw18k037;cw17j037;cw16i037;cw15h037;cw14g037;cw13f037;cw12e037;cw11d037;cw10c037;cw09b037;cw08a037;object;;
course1_satisfaction;All things considered, can you indicate on a scale from 0 to 10 how satisfied yo;;;cw18k038;cw17j038;cw16i038;cw15h038;cw14g038;cw13f038;cw12e038;cw11d038;cw10c038;cw09b038;cw08a038;category;0|1|2|3|4|5|6|7|8|9|10;True
course1_type;What kind of educational program or course is it?;;;cw18k039;cw17j039;cw16i039;cw15h039;cw14g039;cw13f039;cw12e039;cw11d039;cw10c039;cw09b039;cw08a039;category;day program|combination of working and learning|part-time program|(other) course;False
course1_place;Where do (or did) you follow this program or course?;;;cw18k040;cw17j040;cw16i040;cw15h040;cw14g040;cw13f040;cw12e040;cw11d040;cw10c040;cw09b040;cw08a040;category;;False
course1_place_specified;Where do (or did) you follow this program or course, then?;;;cw18k041;cw17j041;cw16i041;cw15h041;cw14g041;cw13f041;cw12e041;cw11d041;cw10c041;cw09b041;cw08a041;object;;
course1_duration1;What is the official duration of this program or course? - amount;;;cw18k042;cw17j042;cw16i042;cw15h042;cw14g042;cw13f042;cw12e042;cw11d042;cw10c042;cw09b042;cw08a042;int;;
course1_duration2;What is the official duration of this program or course? - period;;;cw18k043;cw17j043;cw16i043;cw15h043;cw14g043;cw13f043;cw12e043;cw11d043;cw10c043;cw09b043;cw08a043;category;part-days|days|weeks|months|years;True
course1_hours1;How many hours do or did you spend in total on this program or course?;;;cw18k044;cw17j044;cw16i044;cw15h044;cw14g044;cw13f044;cw12e044;cw11d044;cw10c044;cw09b044;cw08a044;int;;
