new_name;labels;ci20m_EN_1.0p.dta;ci19l_EN_1.0p.dta;ci18k_EN_1.0p.dta;ci17j_EN_1.0p.dta;ci16i_EN_1.0p.dta;ci15h_EN_1.0p.dta;ci14g_1.0p_EN.dta;ci13f_1.1p_EN.dta;ci13f_1.0p_EN.dta;ci12e_1.0p_EN.dta;ci11d_EN_1.0p.dta;ci10c_EN_1.0p.dta;ci09b_EN_1.1p.dta;ci08a_1.0p_EN.dta;type;categories_english;ordered
household_position;Position in the household;ci20m001;ci19l001;ci18k001;ci17j001;ci16i001;ci15h001;ci14g001;ci13f001;ci13f001;ci12e001;ci11d001;ci10c001;ci09b001;ci08a001;category;Household head|Wedded partner|Unwedded partner|Parent (in law)|Child living at home|Housemate|Family member or boarder;False
age;Age respondent;ci20m002;ci19l002;ci18k002;ci17j002;ci16i002;ci15h002;ci14g002;ci13f002;ci13f002;ci12e002;ci11d002;ci10c002;ci09b002;ci08a002;int;;
lives_with_partner;The household head lives together with a partner (wedded or unwedded).;ci20m003;ci19l003;ci18k003;ci17j003;ci16i003;ci15h003;ci14g003;ci13f003;ci13f003;ci12e003;ci11d003;ci10c003;ci09b003;ci08a003;bool;;
is_working;Respondent works, according to household box;;;ci18k004;ci17j004;ci16i004;ci15h004;ci14g004;ci13f004;ci13f004;ci12e004;ci11d004;ci10c004;ci09b004;ci08a004;bool;;
life_rating;If you imagine a 'ladder of life', where the first step represents the worst pos;ci20m005;ci19l005;ci18k005;ci17j005;ci16i005;ci15h005;ci14g005;ci13f005;ci13f005;ci12e005;ci11d005;ci10c005;ci09b005;ci08a005;category;0|1|2|3|4|5|6|7|8|9|10;True
satisfied_finances;How satisfied are you with your financial situation?;ci20m006;ci19l006;ci18k006;ci17j006;ci16i006;ci15h006;ci14g006;ci13f006;ci13f006;ci12e006;ci11d006;ci10c006;ci09b006;ci08a006;category;;
satisfied_econ_in_ned;How satisfied are you with the current economic situation in the Netherlands?;ci20m007;ci19l007;ci18k007;ci17j007;ci16i007;ci15h007;ci14g007;ci13f007;ci13f007;ci12e007;ci11d007;ci10c007;ci09b007;ci08a007;category;;
received_income_from_employment;Did you receive income as employee in 2015? Note: this only concerns income rece;ci20m008;ci19l008;ci18k008;ci17j008;ci16i008;ci15h008;ci14g008;ci13f008;ci13f008;ci12e008;ci11d008;ci10c008;ci09b008;ci08a008;bool;;
nr_empl;How many employers have you had (as employee) in 2015?;ci20m009;ci19l009;ci18k009;ci17j009;ci16i009;ci15h009;ci14g009;ci13f009;ci13f009;ci12e009;ci11d009;ci10c009;ci09b009;ci08a009;int;;
gross_wages;How much were your gross wages in total in 2015 [at your employer /at the employ;ci20m372;ci19l372;ci18k010;ci17j010;ci16i010;ci15h010;ci14g010;ci13f010;ci13f010;ci12e010;ci11d010;ci10c010;ci09b010;ci08a010;int;;
