;new_name;labels;cb13b_EN_1.0p.dta;cb12a_EN_1.0p.dta
0;random_household;random variable: in the event that the respondent lived both with mother and ste;cb13b001;cb12a001
1;parents_birth;Right after you were born did you live with both your real parents?;cb13b002;cb12a002
2;parents_birth_other1;With whom did you live then?;cb13b003;cb12a003
3;parents_birth_other2;With whom did you live then? ? other namely;cb13b004;cb12a004
4;noparents_birth;Why didn?t you live with both biological parents?;cb13b005;cb12a005
5;noparents_birth_other;Why didn?t you live with both biological parents? - other namely;cb13b006;cb12a006
6;change_family1;Did this (parental) family situation from before you started living independentl;cb13b007;cb12a007
7;change_family2;Did this (parental) family situation from before you started living independentl;cb13b008;cb12a008
8;change_family3;Did this (parental) family situation from before you started living independentl;cb13b009;cb12a009
9;change_family4;Did this (parental) family situation from before you started living independentl;cb13b010;cb12a010
10;change_family5;Did this (parental) family situation from before you started living independentl;cb13b011;cb12a011
11;change_family6;Did this (parental) family situation from before you started living independentl;cb13b012;cb12a012
12;change_family7;Did this (parental) family situation from before you started living independentl;cb13b013;cb12a013
13;change_family8;Did this (parental) family situation from before you started living independentl;cb13b014;cb12a014
14;change_family9;Did this (parental) family situation from before you started living independentl;cb13b015;cb12a015
15;cause_change;What caused the change?;cb13b016;cb12a016
16;cause_change_other;What caused the change? - other namely;cb13b017;cb12a017
17;change_situation1;In what situation did you come to live after that? (1);cb13b018;cb12a018
18;change_situation1_other;In what situation did you come to live after that? (1) ? other namely;cb13b019;cb12a019
19;change_age1;How old were you when this change occurred? (1);cb13b020;cb12a020
20;change_situation2;In what situation did you come to live after that? (2);cb13b021;cb12a021
21;change_situation2_other;In what situation did you come to live after that? (2) ? other namely;cb13b022;cb12a022
22;change_age2;How old were you when this change occurred? (2);cb13b023;cb12a023
23;change_situation3;In what situation did you come to live after that? (3);cb13b024;cb12a024
24;change_situation3_other;In what situation did you come to live after that? (3) ? other namely;cb13b025;cb12a025
25;change_age3;How old were you when this change occurred? (3);cb13b026;cb12a026
26;change_situation4;In what situation did you come to live after that? (4);cb13b027;cb12a027
27;change_situation4_other;In what situation did you come to live after that? (4) ? other namely;cb13b028;cb12a028
28;change_age4;How old were you when this change occurred? (4);cb13b029;cb12a029
29;change_situation5;In what situation did you come to live after that? (5);cb13b030;cb12a030
30;change_situation5_other;In what situation did you come to live after that? (5) ? other namely;cb13b031;cb12a031
31;change_age5;How old were you when this change occurred? (5);cb13b032;cb12a032
32;change_situation6;In what situation did you come to live after that? (6);cb13b033;cb12a033
33;change_situation6_other;In what situation did you come to live after that? (6) ? other namely;cb13b034;cb12a034
34;change_age6;How old were you when this change occurred? (6);cb13b035;cb12a035
35;change_situation7;In what situation did you come to live after that? (7);cb13b036;cb12a036
36;change_situation7_other;In what situation did you come to live after that? (7) ? other namely;cb13b037;cb12a037
37;change_age7;How old were you when this change occurred? (7);cb13b038;cb12a038
38;change_situation8;In what situation did you come to live after that? (8);cb13b039;cb12a039
39;change_situation8_other;In what situation did you come to live after that? (8) ? other namely;cb13b040;cb12a040
40;change_age8;How old were you when this change occurred? (8);cb13b041;cb12a041
