new_name;labels;L_beliefs_deel4_3p.dta;L_beliefs_deel3_total3p.dta;L_beliefs_deel2_3p.dta;L_beliefs_deel1_4p.dta
n_shares;;;;;aandeel
n_persons_hh;;aantalhh;aantalhh;aantalhh;aantalhh
children;;aantalki;aantalki;aantalki;aantalki
occupation;;belbezig;belbezig;belbezig;belbezig
investments;;;;;beleg
stocks_cat;;;;;belegcat1
funds_cat;;;;;belegcat2
other_inv_cat;;;;;belegcat3
stocks;;;;;belegspec1
funds;;;;;belegspec2
other_inv;;;;;belegspec3
marital;;burgstat;burgstat;burgstat;burgstat
asset_data_banking;;;;;ca12c012
asset_data_banking_cat;;;;;ca12c013
asset_data_investments;;;;;ca12c016
asset_data_investments_cat;;;;;ca12c017
choice1;;;;;choice1
choice1p;;;;;choice1p
choice1r;;;;;choice1r
choice1rp;;;;;choice1rp
aex_100_105;;;choice2;;choice2
philips_100_105;choice2P;;choice2p;;choice2p
choice2r;;;;;choice2r
choice2rp;;;;;choice2rp
aex_105_110;;;choice3;;choice3
philips_105_110;choice3P;;choice3p;;choice3p
choice3r;;;;;choice3r
choice3rp;;;;;choice3rp
aex_110_115;;;choice4;;choice4
philips_110_115;choice4P;;choice4p;;choice4p
aex_g_115;choice4R;;choice4r;;choice4r
philips_g_115;choice4RP;;choice4rp;;choice4rp
choice5;;;;;choice5
choice5p;;;;;choice5p
aex_95_100;choice5R;;choice5r;;choice5r
philips_95_100;choice5RP;;choice5rp;;choice5rp
choice6;;;;;choice6
choice6p;;;;;choice6p
aex_90_95;choice6R;;choice6r;;choice6r
philips_90_95;choice6RP;;choice6rp;;choice6rp
aex_leq_85;;;choice7;;choice7
philips_leq_85;choice7P;;choice7p;;choice7p
aex_85_90;choice7R;;choice7r;;choice7r
philips_85_90;choice7RP;;choice7rp;;choice7rp
date_b_2;DatumB;datumb;datumb;datumb;datumb
date_e_2;DatumE;datume;datume;datume;datume
duration_4;;duur;duur;duur;duur
questionnaire_difficult;;eva2t1;eva2t1;eva2t1;eva2t1
questionnaire_clear;;eva2t2;eva2t2;eva2t2;eva2t2
questionnaire_thinking;;eva2t3;eva2t3;eva2t3;eva2t3
questionnaire_interesting;;eva2t4;eva2t4;eva2t4;eva2t4
questionnaire_enjoy;;eva2t5;eva2t5;eva2t5;eva2t5
comment_exp_2_part_2;EVAOP0;evaop0;evaop0;evaop0;evaop0
comment_exp_2_part_1;;evaopm;evaopm;evaopm;evaopm
asset_type;;;;;extra
birth_year;;gebjaar;gebjaar;gebjaar;gebjaar
gender;;geslacht;geslacht;geslacht;geslacht
helper;;;;;helper
date_fieldwork;;maandnr;maandnr;jy13a_m;jx13a_m
age;;leeftijd;leeftijd;leeftijd;leeftijd
age_hhh;;lftdhhh;lftdhhh;lftdhhh;lftdhhh
net_income_2;;netinc;netinc;netinc;netinc
net_hh_income;;;nettohh_f;nettohh_f;nettohh_f
net_income;;nettoink;nettoink;nettoink;nettoink
hh_id;;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr
personal_id;;nomem_encr;nomem_encr;nomem_encr;nomem_encr
education_cat;;oplcat;oplcat;oplcat;oplcat
education_dpl;;oplmet;oplmet;oplmet;oplmet
education;;oplzon;oplzon;oplzon;oplzon
partner_hhh;;partner;partner;partner;partner
pos_in_hh;;positie;positie;positie;positie
urban_residence;;sted;sted;sted;sted
time_b_2;TijdB;tijdb;tijdb;tijdb;tijdb
time_e_2;TijdE;tijde;tijde;tijde;tijde
interest_in_financial_matters;;v1;v1;v1;v1
video;;;;;video
video0;;;;;video0
video1;;;;;video1
video2;;;;;video2
video3;;;;;video3
video4;;;;;video4
video5;;;;;video5
video6;;;;;video6
video7;;;;;video7
video8;;;;;video8
video9;;;;;video9
videoa;;;;;videoa
videob;;;;;videob
videoc;;;;;videoc
videod;;;;;videod
videoe;;;;;videoe
videof;;;;;videof
domestic;;woonvorm;woonvorm;woonvorm;woonvorm
value_lottery_a;;;;fill_v3a;
value_lottery_b;;;;fill_v3b;
value_lottery_c;;;;fill_v3c;
value_lottery_d;;;;fill_v3d;
value_lottery_e;;;;fill_v3e;
gross_hh_income;;brutohh_f;;;
tijdaex;TijdAEX;;tijdaex;;
aex_invest_task_wave_2;;;vertical1;vertical1;
philips_invest_task_wave_2;;;vertical2;vertical2;
savacc_invest_task_wave_2;;;vertical3;vertical3;
source_financial_advice_other;;v3and;deviceand;;
investearn;;investearn;;;
wave;;wave;;;
answer_equity_comprehension;;d2;;;
waardep;waardeP;;waardep;;
savacc_slider;;;;v6slider;
waardet;waardeT;;waardet;;
tijdi1;TijdI1;;tijdi1;;
tijdi2;TijdI2;;tijdi2;;
tijdi3;TijdI3;;tijdi3;;
tijdi4;TijdI4;;tijdi4;;
tijdi5;TijdI5;;tijdi5;;
tijdi6;TijdI6;;tijdi6;;
tijdi7;TijdI7;;tijdi7;;
tijdi8;TijdI8;;tijdi8;;
tijdov;TijdOv;;tijdov;;
tijdvert;TijdVert;;tijdvert;;
aex1;AEX1;;aex1;;
aex2;AEX2;;aex2;;
aex3;AEX3;;aex3;;
aex4;AEX4;;aex4;;
aex5;AEX5;;aex5;;
aex6;AEX6;;aex6;;
aex7;AEX7;;aex7;;
aex8;AEX8;;aex8;;
beliefpo;;beliefpo;;;
tijddevice;TijdDevice;;tijddevice;;
tijdphilips;TijdPhilips;;tijdphilips;;
l1;L1;l1;;;
vertical1h;;;vertical1h;;
l2;L2;l2;;;
vertical2h;;;vertical2h;;
l3;L3;l3;;;
vertical3h;;;vertical3h;;
datumi1;DatumI1;;datumi1;;
datumi2;DatumI2;;datumi2;;
datumi3;DatumI3;;datumi3;;
