new_name;labels;ks13a_EN_1.0p.dta
exp_treatment_status;Determining condition 1-2-3;ks13a001
age_child;How old is your child?;ks13a002
gender_child;What is the gender of your child?;ks13a003
country_of_birth_child;In which country was your child born?;ks13a004
attends_special_ed;Does your child attend special education?;ks13a005
fig_relation_c;Please select the figure which best describes your relationship with your child.;ks13a006
has_close_relation_w_child;My relationship with my child is close.;ks13a007
misses_child_when_apart;When we are apart, I miss my child a great deal.;ks13a008
shares_personal_things_w_c;My child and I disclose important personal things to each other.;ks13a009
has_strong_conn_w_c;My child and I have a strong connection.;ks13a010
wants_to_spend_time_w_c;My child and I want to spend time together.;ks13a011
is_sure_of_relation_w_c;I?m sure of my relationship with my child.;ks13a012
child_is_priority;My child is a priority in my life.;ks13a013
does_lots_of_things_w_c;My child and I do a lot of things together.;ks13a014
spends_freetime_w_c;When I have free time I choose to spend it alone with my child.;ks13a015
thinks_abt_child;I think about my child a lot.;ks13a016
relation_w_child_is_important;My relationship with my child is important in my life.;ks13a017
considers_c_when_making_desc;I consider my child when making important decisions;ks13a018
fig_relation_friend_of_c;Please select the figure which best describes your relationship with the best fr;ks13a019
trait_self_assured;Please select for each pair the trait that best applies to you.;ks13a020
trait_centre_of_attention1;Please select for each pair the trait that best applies to you.;ks13a021
trait_confident;Please select for each pair the trait that best applies to you.;ks13a022
trait_leader1;Please select for each pair the trait that best applies to you.;ks13a023
trait_manipulator;Please select for each pair the trait that best applies to you.;ks13a024
trait_demand_respect;Please select for each pair the trait that best applies to you.;ks13a025
trait_showoff;Please select for each pair the trait that best applies to you.;ks13a026
trait_confident_in_what_does1;Please select for each pair the trait that best applies to you.;ks13a027
trait_story_teller;Please select for each pair the trait that best applies to you.;ks13a028
trait_demands_much_others;Please select for each pair the trait that best applies to you.;ks13a029
trait_centre_of_attention2;Please select for each pair the trait that best applies to you.;ks13a030
trait_leader2;Please select for each pair the trait that best applies to you.;ks13a031
trait_will_be_great;Please select for each pair the trait that best applies to you.;ks13a032
trait_manipulator2;Please select for each pair the trait that best applies to you.;ks13a033
trait_confident_in_what_does2;Please select for each pair the trait that best applies to you.;ks13a034
trait_confident2;Please select for each pair the trait that best applies to you.;ks13a035
has_fulfilled_ambit;Up to this point in my life I feel? I have fulfilled most of my ambitions.;ks13a036
has_been_successful1;Up to this point in my life I feel? I have been successful.;ks13a037
has_been_successful2;Up to this point in my life I feel? I have experienced lots of successes.;ks13a038
has_not_fulfilled_ambit;Up to this point in my life I feel? I have fulfilled few of my ambitions.;ks13a039
has_not_been_successful1;Up to this point in my life I feel? I have been unsuccessful.;ks13a040
