new_name;labels;L_HMG_2019_5p.dta
start_date;Datum begin vragenlijst;DatumB
end_date;Datum einde vragenlijst;DatumE
loc1;Hoe mijn leven verloopt hangt van mijzelf af;LOC1
loc2;In vergelijking met anderen heb ik niet bereikt wat mij toekomt;LOC2
loc3;Wat je bereikt in het leven is vooral een kwestie van geluk of het lot;LOC3
loc4;Ik heb vaak het gevoel dat anderen beslissingen nemen over mijn leven;LOC4
loc5;Als ik op problemen stuit, dan twijfel ik aan mijn vaardigheden;LOC5
loc6;De mogelijkheden die ik in het leven krijg, worden bepaald door sociale omstandi;LOC6
loc7;Ik heb weinig controle over de dingen die in mijn leven gebeuren;LOC7
start_time;Tijd begin vragenlijst;TijdB
end_time;Tijd einde vragenlijst;TijdE
nr_hh_members;Aantal leden in het huishouden;aantalhh
nr_children;Aantal thuiswonende kinderen in het huishouden;aantalki
does_finances;Doet de financiële zaken;account
occupation;Belangrijkste bezigheid;belbezig
marital_status;Burgerlijke staat;burgstat
duration_in_sec;Duur in seconden;duur
questionnaire_difficult;Vond u het moeilijk om de vragen te beantwoorden?;eva2t1
questionnaire_clear;Vond u de vragen duidelijk?;eva2t2
questionnaire_thinking;Heeft de vragenlijst u aan het denken gezet?;eva2t3
questionnaire_interesting;Vond u het onderwerp interessant?;eva2t4
questionnaire_enjoy;Vond u het plezierig om de vragen in te vullen?;eva2t5
comments;U kunt uw opmerking hieronder invullen.;evaopm
portfolio2_amt;bedrag getoond bij portfolio2;fill2
portfolio2b_amt;bedrag getoond bij portfolio2b;fill2b
portfolio3_amt;bedrag getoond bij portfolio3;fill3
portfolio3b_amt;bedrag getoond bij portfolio3b;fill3b
portfolio4_amt;bedrag getoond bij portfolio4;fill4
portfolio4b_amt;bedrag getoond bij portfolio4b;fill4b
portfolio5_amt;bedrag getoond bij portfolio5;fill5
portfolio5b_amt;bedrag getoond bij portfolio5b;fill5b
birth_year;Geboortejaar;gebjaar
gender;Geslacht;geslacht
hh_member_age;Leeftijd van lid huishouden;leeftijd
hh_head_age;Leeftijd van het huishoudhoofd;lftdhhh
date_fieldwork;Jaar en maand van de veldwerkperiode;maandnr
net_income;Persoonlijk netto inkomen, oorspronkelijke waarde;netinc
hh_net_income_imp;Netto inkomen van het huishouden, geïmputeerd;nettohh_f
monthly_net_income;Persoonlijk netto maandinkomen in euros;nettoink
hh_id;Nummer van huishouden versleuteld;nohouse_encr
personal_id;Nummer van lid huishouden versleuteld;nomem_encr
num1;Een winkel verkoopt in de uitverkoop alle artikelen voor de halve prijs. Vóór de;num1
num2;Als de kans om ziek te worden 10% is, hoeveel van de 1000 (duizend) mensen zal d;num2
