new_name;reference.period.other.than.survey.period;label_english;L_CoronavirusImpact_wave6_2p.dta;L_CoronavirusImpact_wave5_3p.dta;L_CoronavirusImpact_wave4_4p.dta;L_CoronavirusImpact_wave3_4p.dta;L_CoronavirusImpact_4.0p.dta;L_CoronavirusImpact_3p.dta;type;categories_english;ordered;topic_english;question_group
l_2m_infected;;How likely do you think it is that you will become infected with the new coronavirus in the next 2 months?;;;;;;q1a;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain|happened already;TRUE;Health Beliefs;q1
l_2m_acquaintance_infected;;How likely do you think it is that someone in your direct environment (family, friends, colleagues) will be infected with the new coronavirus in the next 2 months?;;;;;;q1b;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain|happened already;TRUE;Health Beliefs;q1
l_2m_hospital_if_infect_self;;How likely do you think it is that you will need inpatient care if you became infected with the new coronavirus in the next 2 months?;;;;;;q1c;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain|happened already;TRUE;Health Beliefs;q1
l_2m_quarantine;;How likely do you think it is that you will be quarantined in the next 2 months irrespective of whether you get infected or not?;;;;;;q1d;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain|happened already;TRUE;Health Beliefs;q1
l_2m_infected_and_pass_on;;How likely do you think it is that you will get infected and infect others in the next to months?;;;;;;q1e;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain|happened already;TRUE;Health Beliefs;q1
p_2m_infected;;;q1a;q1a;q1a;q1a;q1a;;int;;;Health Beliefs;q1header
p_2m_acquaintance_infected;;;q1b;q1b;q1b;q1b;q1b;;int;;;Health Beliefs;q1header
p_2m_hospital_if_infect_self;;;q1c;q1c;q1c;q1c;q1c;;int;;;Health Beliefs;q1header
p_2m_infected_and_pass_on;;;q1e;q1e;q1e;q1e;q1e;;int;;;Health Beliefs;q1header
l_2m_hospital_healthy_30;;How big do you think the chances are that an otherwise healthy 30 year old will have to go to the hospital?;;;;;;q2a;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_die_healthy_30;;How big do you think the chances are that an otherwise healthy 30 year old will die?;;;;;;q2b;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_hospital_healthy_75;;How big do you think the chances are that an otherwise healthy 75 year old will have to go to the hospital?;;;;;;q2c1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_die_healthy_75;;How big do you think the chances are that an otherwise healthy 75 year old will die?;;;;;;q2d1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_hospital_healthy_5;;How big do you think the chances are that an otherwise healthy 5 year old will have to go to the hospital?;;;;;;q2e1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_die_healthy_5;;How big do you think the chances are that an otherwise healthy 5 year old will die?;;;;;;q2f1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
l_2m_hospital_preexist_30;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;;;;;;q2g1;category;not at all likely|very unlikely|rather unlikely|moderately likely|rather likely|very likely|certain;TRUE;Health Beliefs;q2
