new_name;categories_english;group_english;label_english;nice_name_english;ordered;topic_english;type
p_infected;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;Subjective Risks;How likely do you think it is that you will become infected with the new coronavirus in the next 2 months?;Be Infected;True;Health Beliefs;Categorical
p_acquaintance_infected;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;Subjective Risks;How likely do you think it is that someone in your direct environment (family, friends, colleagues) will be infected with the new coronavirus in the next 2 months?;Friend Infected;True;Health Beliefs;Categorical
p_hospital_if_infect_self;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;Subjective Risks;How likely do you think it is that you will need inpatient care if you became infected with the new coronavirus in the next 2 months?;Hospitalized;True;Health Beliefs;Categorical
p_quarantine;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;Subjective Risks;How likely do you think it is that you will be quarantined in the next 2 months irrespective of whether you get infected or not?;Quarantine;True;Health Beliefs;Categorical
p_infected_and_pass_on;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain, has already happened;Subjective Risks;How likely do you think it is that you will get infected and infect others in the next to months?;Spread Virus;True;Health Beliefs;Categorical
p_hospital_healthy_5;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Hospitalization;How big do you think the chances are that an otherwise healthy 5 year old will have to go to the hospital?;Healthy Child;True;Health Beliefs;Categorical
p_hospital_healthy_30;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Hospitalization;How big do you think the chances are that an otherwise healthy 30 year old will have to go to the hospital?;Healthy Adult;True;Health Beliefs;Categorical
p_hospital_healthy_75;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Hospitalization;How big do you think the chances are that an otherwise healthy 75 year old will have to go to the hospital?;Healthy Old;True;Health Beliefs;Categorical
p_hospital_preexist_30;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Hospitalization;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;Predisposed Adult;True;Health Beliefs;Categorical
p_hospital_preexist_75;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Hospitalization;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?;Predisposed Old;True;Health Beliefs;Categorical
p_die_healthy_5;not at all likely, very unlikely, rather unlikely, moderately likely, rather likely, very likely, certain;Vignettes: Risk of Death;How big do you think the chances are that an otherwise healthy 5 year old will die?;Healthy Child ;True;Health Beliefs;Categorical
