new_name;import_name;liss-data-set;topic_english;group;label_english;nice_name_english;type;categories_english;ordered
birth_year;birth_year;background_selected;background;background;birth year;background;float;;
age;age;background_selected;background;background;Age ;background;float;;
hh_members;hh_members;background_selected;background;background;Number of Household Members.;background;float;;
hh_id;hh_id;background_selected;background;background;Household id;background;float;;
hh_children;hh_children;background_selected;background;background;number of all children living in the household;background;Int;;
hhh_partner;hhh_partner;background_selected;background;background;do you live with a married or unmarried partner;background;bool;;
civil_status;civil_status;background_selected;background;background;Marital status;background;Categorical;Never been married|Married|Divorced|Widow or widower|Separated;FALSE
hh_position;hh_position;background_selected;background;background;Household Position;background;Categorical;;FALSE
dom_situation;dom_situation;background_selected;background;background;What is your domestic situation? ;background;Categorical;;
dwelling_type;dwelling_type;background_selected;background;background;;background;Categorical;Self-owned dwelling|Rental dwelling|Cost-free dwelling;FALSE
location_urban;location_urban;background_selected;background;background;;background;Categorical;Not urban|Slightly urban|Moderately urban|Very urban|Extremely urban;TRUE
occupation;occupation;background_selected;background;background;;background;Categorical;;
net_income_hh;net_income_hh;background_selected;background;background;Net income household;background;float;;
gross_income_hh;gross_income_hh;background_selected;background;background;Gross income household;background;float;;
education_cbs;education_cbs;background_selected;background;background;education in CBS categories;background;Categorical;;
edu;edu;background_selected;background;background;Education;background;Categorical;lower_secondary_and_lower|upper_secondary|tertiary;TRUE
edu_4;edu_4;background_selected;background;background;Education;background;Categorical;primary|lower_secondary|upper_secondary|tertiary;TRUE
gender;gender;background_selected;background;background;Gender;background;Categorical;female|male;FALSE
female;female;background_selected;background;background;Female;background;bool;;
net_income;net_income;background_selected;background;background;Individual net income;background;float;;
gross_income;gross_income;background_selected;background;background;Individual gross income;background;float;;
dum_angina;dum_angina;health_selected;background;health;angina; pain in the chest;bool;;
dum_attack;dum_attack;health_selected;background;health;a heart attack including infarction or coronary thrombosis or another heart prob;;bool;;
dum_pressure;dum_pressure;health_selected;background;health;high blood pressure or hypertension;;bool;;
dum_cholestrol;dum_cholestrol;health_selected;background;health;high cholesterol content in blood;;bool;;
dum_stroke;dum_stroke;health_selected;background;health;a stroke or brain infarction or a disease affecting the blood vessels;;bool;;
dum_diabetes;dum_diabetes;health_selected;background;health;diabetes or a too high blood sugar level;;bool;;
dum_lung;dum_lung;health_selected;background;health;chronic lung disease such as chronic bronchitis or emphysema;;bool;;
dum_asthma;dum_asthma;health_selected;background;health;asthma;;bool;;
dum_arthitis;dum_arthitis;health_selected;background;health;;;bool;;
dum_cancer;dum_cancer;health_selected;background;health;cancer or malignant tumor  including leukemia or lymphoma ;;bool;;
dum_ulcer;dum_ulcer;health_selected;background;health;a gastric ulcer or duodenal ulcer;;bool;;
dum_parkinson;dum_parkinson;health_selected;background;health;Parkinson's disease;;bool;;
dum_cataract;dum_cataract;health_selected;background;health;cataract;;bool;;
dum_hip;dum_hip;health_selected;background;health;a broken hip or thigh bone;;bool;;
dum_fracture;dum_fracture;health_selected;background;health;another fracture;;bool;;
dum_alzheimer;dum_alzheimer;health_selected;background;health;Alzheimer   organic brain syndrome   senility  ;;bool;;
dum_benign_tumor;dum_benign_tumor;health_selected;background;health;benign tumor (skin tumor  polyps  angioma)  ;;bool;;
dum_other;dum_other;health_selected;background;health;other afflictions not yet mentioned;;bool;;
dum_no_diseases;dum_no_diseases;health_selected;background;health;no diseases / problems;;bool;;
health_general;health_general;health_selected;background;health;self reported health status ;;category;;
nervous_back;feel_anxious;health_selected;background;mental_health;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE
calm_back;feel_calm;health_selected;background;mental_health;;;category;never|rarely|sometimes|often|mostly|constantly;TRUE
gloomy_back;feel_down;health_selected;background;mental_health;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE
depressed_back;feel_depressed;health_selected;background;mental_health;;;category;constantly|mostly|often|sometimes|rarely|never;TRUE
happy_back;feel_happy;health_selected;background;mental_health;;;category;never|rarely|sometimes|often|mostly|constantly;TRUE
mhi5_back;mhi5_back;;background;mental_health;Mhi 5 score in November 2019;;float;;
home_ownership_status;home_ownership_status;housing_selected;background;financial_situation;Are you a tenant  subtenant  or (co-)owner of your current dwelling? ;;category;tenant|subtenant|(co-)owner|other, for instance cost-free accommodation or anti-squatting accommodation;TRUE
home_has_mortgage;home_has_mortgage;housing_selected;background;financial_situation;do you have a mortgage or loan (or bridging loan);;bool;;TRUE
home_paid_interest_on_mortgage;home_paid_interest_on_mortgage;housing_selected;background;financial_situation;Did you pay any interest in the current period!;;bool;;
home_pays_rent;home_pays_rent;housing_selected;background;financial_situation;Do you currently pay rent?;;bool;;TRUE
home_rent_amount;home_rent_amount;housing_selected;background;financial_situation;How much rent do you pay?;;float;;
home_nr_of_rooms;home_nr_of_rooms;housing_selected;background;housing;How many rooms does your dwelling contain?;;float;                 ;
home_problem_small;home_problem_small;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_problem_dark;home_problem_dark;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_problem_cold;home_problem_cold;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_problem_rotten;home_problem_rotten;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
home_problem_noisy;home_problem_noisy;housing_selected;background;housing;Does your dwelling have one or more of the following problems?;;bool;;TRUE
