wave;original_name;routing;label_english
1;q1a;;How likely do you think it is that you will become infected with the new coronavirus in the next 2 months?
1;q1b;;How likely do you think it is that someone in your direct environment (family, friends, colleagues) will be infected with the new coronavirus in the next 2 months?
1;q1c;;How likely do you think it is that you will need inpatient care if you became infected with the new coronavirus in the next 2 months?
1;q1d;;How likely do you think it is that you will be quarantined in the next 2 months irrespective of whether you get infected or not?
1;q1e;;How likely do you think it is that you will get infected and infect others in the next to months?
1;q2a;;How big do you think the chances are that an otherwise healthy 30 year old will have to go to the hospital?
1;q2b;;How big do you think the chances are that an otherwise healthy 30 year old will die?
1;q2c1;;How big do you think the chances are that an otherwise healthy 75 year old will have to go to the hospital?
1;q2d1;;How big do you think the chances are that an otherwise healthy 75 year old will die?
1;q2e1;;How big do you think the chances are that an otherwise healthy 5 year old will have to go to the hospital?
1;q2f1;;How big do you think the chances are that an otherwise healthy 5 year old will die?
1;q2g1;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?
1;q2h1;;How big do you think the chances are that an 30 year old with diabetes and chronic cardiovascular disease will die?
1;q2i1;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will have to go to the hospital?
1;q2j1;;How big do you think the chances are that an 75 year old with diabetes and chronic cardiovascular disease will die?
1;q3__1;;I have avoided certain (busy) places
1;q3__2;;I have avoided public places
1;q3__3;;I have maintained physical distance from other people (> 1.5m)
1;q3__4;;I have adjusted my school / work situation
1;q3__5;;I have quarantined myself because I had symptoms.
1;q3__6;;I have quarantined myself even though I have no symptoms.
1;q3__7;;I have done none of the above
1;q6a;;How effective do you think school and pre-k closures are in fighting the spread of coronavirus?
1;q6b;;How effective do you think is it to close sport establishments to fight the spread of coronavirus?
1;q6c;;How effective do you think is it to close bars, cafes and restaurants to fight the spread of coronavirus?
1;q6d;;How effective do you think is it to close all stores except grocery stores and pharmacies to fight the spread of coronavirus?
1;q6e;;How effective do you think is it to forbid visits to hospitals, nursing homes and retirement homes to fight the spread of coronavirus?
1;q6f;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on over 70 year olds and people with preexisting conditions to fight the spread of coronavirus?
1;q6g;;How effective do you think is it to enact a curfew (except on grocery shopping and necessary medical procedures) on everyone except for people in critical professions to fight the spread of coronavirus?
1;q10;;Would you comply with a curfew?
