new_name;labels;cp20l_EN_1.0p.dta;cp19k_EN_1.0p.dta;cp18j_EN_1.0p.dta;cp17i_EN_1.0p.dta;cp15h_EN_1.0p.dta;cp14g_EN_1.0p.dta;cp13f_EN_1.0p.dta;cp12e_1.0p_EN.dta;cp11d_1.0p_EN.dta;cp10c_1.0p_EN.dta;cp09b_1.0p_EN.dta;cp08a_1p_EN.dta
questionnaires_enjoyment_online;I really enjoy responding to questionnaires through the mail or Internet.;;;cp18j001;cp17i001;cp15h001;cp14g001;cp13f001;cp12e001;cp11d001;cp10c001;cp09b001;cp08a001
questionnaires_enjoyment_phone;I really enjoy being interviewed for a survey.;;;cp18j002;cp17i002;cp15h002;cp14g002;cp13f002;cp12e002;cp11d002;cp10c002;cp09b002;cp08a002
questionnaires_interesting;Surveys are interesting in themselves.;;;cp18j003;cp17i003;cp15h003;cp14g003;cp13f003;cp12e003;cp11d003;cp10c003;cp09b003;cp08a003
questionnaires_importance;Surveys are important for society.;;;cp18j004;cp17i004;cp15h004;cp14g004;cp13f004;cp12e004;cp11d004;cp10c004;cp09b004;cp08a004
questionnaires_information_gain;A lot can be learned from information collected through surveys.;;;cp18j005;cp17i005;cp15h005;cp14g005;cp13f005;cp12e005;cp11d005;cp10c005;cp09b005;cp08a005
questionnaires_waste_of_time;Completing surveys is a waste of time.;;;cp18j006;cp17i006;cp15h006;cp14g006;cp13f006;cp12e006;cp11d006;cp10c006;cp09b006;cp08a006
questionnaires_too_many;I receive far too many requests to participate in surveys.;;;cp18j007;cp17i007;cp15h007;cp14g007;cp13f007;cp12e007;cp11d007;cp10c007;cp09b007;cp08a007
questionnaires_privacy_invasion;Opinion polls are an invasion of privacy.;;;cp18j008;cp17i008;cp15h008;cp14g008;cp13f008;cp12e008;cp11d008;cp10c008;cp09b008;cp08a008
questionnaires_exhaustive;It is exhaustive to answer so many questions in a survey.;;;cp18j009;cp17i009;cp15h009;cp14g009;cp13f009;cp12e009;cp11d009;cp10c009;cp09b009;cp08a009
mood_happiness;On the whole, how happy would you say you are?;cp20l010;cp19k010;cp18j010;cp17i010;cp15h010;cp14g010;cp13f010;cp12e010;cp11d010;cp10c010;cp09b010;cp08a010
