new_name;labels;ca20g_EN_1.0p.dta;ca18f_EN_1.0p.dta;ca16e_EN_1.0p.dta;ca14d_2.0p_EN.dta;ca12c_EN_1.0p.dta;ca10b_EN_1.0p.dta;ca08a_1.0p_EN.dta;type;categories_english;ordered
;The head of household lives together with a partner (married or unmarried);ca20g001;ca18f001;ca16e001;ca14d001;ca12c001;ca10b001;ca08a001;;;
financial_decider;Do you take care of financial matters in the household?;ca20g002;ca18f002;ca16e002;ca14d002;ca12c002;ca10b002;ca08a002;bool;;
;Position in the household;ca20g003;ca18f003;ca16e003;ca14d003;ca12c003;ca10b003;ca08a003;;;
banking_d;On 31 December 2007, did you possess one or more of the following assets? - Curr;ca20g078;ca18f078;ca16e078;ca14d078;ca12c078;ca10b078;ca08a004;bool;;
insurance_d;On 31 December 2015, did you possess one or more of the following assets? - Sing;ca20g005;ca18f005;ca16e005;ca14d005;ca12c005;ca10b005;ca08a005;bool;;
risky_financial_assets_d;On 31 December 2015, did you possess one or more of the following assets? - Inve;ca20g006;ca18f006;ca16e006;ca14d006;ca12c006;ca10b006;ca08a006;bool;;
real_estate_d;On 31 December 2015, did you possess one or more of the following assets? - Real;ca20g007;ca18f007;ca16e007;ca14d007;ca12c007;ca10b007;ca08a007;bool;;
durables_d;On 31 December 2015, did you possess one or more of the following assets? - Cars;ca20g008;ca18f008;ca16e008;ca14d008;ca12c008;ca10b008;ca08a008;bool;;
no_wealth_d;On 31 December 2015, did you possess one or more of the following assets? - None;ca20g009;ca18f009;ca16e009;ca14d009;ca12c009;ca10b009;ca08a009;bool;;
loan_out_d;Did you have any money loaned out to family, friends or acquaintances on 31 Dece;ca20g010;ca18f010;ca16e010;ca14d010;ca12c010;ca10b010;ca08a010;bool;;
other_inv_d;On 31 December 2015, did you have any other assets or money saved or invested in;ca20g011;ca18f011;ca16e011;ca14d011;ca12c011;ca10b011;ca08a011;bool;;
banking_v;What was the total balance of your banking account or giro (current accounts), s;ca20g012;ca18f012;ca16e012;ca14d012;ca12c012;ca10b012;ca08a012;float;;
banking_c;To what category did the total balance (total value) belong on 31 December 2015;ca20g013;ca18f013;ca16e013;ca14d013;ca12c013;ca10b013;ca08a013;category;;
insurance_v;What was the total sum of the guaranteed minimum payout of your single-premium o;ca20g014;ca18f014;ca16e014;ca14d014;ca12c014;ca10b014;ca08a014;float;;
insurance_c;To what category did the sum of the guaranteed minimum payout of your single-pre;ca20g015;ca18f015;ca16e015;ca14d015;ca12c015;ca10b015;ca08a015;category;;
risky_financial_assets_v;What was the total value of your investments (growth funds, share funds, bonds,;ca20g016;ca18f016;ca16e016;ca14d016;ca12c016;ca10b016;ca08a016;float;;
risky_financial_assets_c;To what category did the total value belong?;ca20g017;ca18f017;ca16e017;ca14d017;ca12c017;ca10b017;ca08a017;category;;
real_estate_v;What was the total value of the real estate (not used as personal home / second;ca20g018;ca18f018;ca16e018;ca14d018;ca12c018;ca10b018;ca08a018;float;;
real_estate_c;To what category did the total value belong?;ca20g019;ca18f019;ca16e019;ca14d019;ca12c019;ca10b019;ca08a019;category;;
mortgage_d;Do you have mortgages on this real estate?;ca20g020;ca18f020;ca16e020;ca14d020;ca12c020;ca10b020;ca08a020;bool;;
mortgage_v;How high was the remaining mortgage debt on 31 December 2015?;ca20g021;ca18f021;ca16e021;ca14d021;ca12c021;ca10b021;ca08a021;float;;
