;new_name;labels;hg12a_EN_1.0p.dta
0;principal_occupation;Principal occupation;hg12a001
1;age;Age of household member;hg12a002
2;order_questions1;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a003
3;order_questions2;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a004
4;order_questions3;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a005
5;order_questions4;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a006
6;order_questions5;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a007
7;order_questions6;Order of the response options for questions hg12a140 and hg12a141 - category sho;hg12a008
8;distribution_question1;Distribution explication questions;hg12a009
9;distribution_question2;Distribution question hg12a102 / hg12a103;hg12a010
10;state_interference;The state interferes with too many matters.;hg12a011
11;personal_responsibility;People need to carry more personal responsibility for their well-being and shou;hg12a012
12;politics_decrease;The political establishment in The Hague has increasingly less to say about faci;hg12a013
13;state_citizens;The state should leave more matters to citizens personally.;hg12a014
14;probability_exploit;Do you think that most people would try to exploit you if they had a chance to d;hg12a015
15;probability_helpful;Do you think that most people try to be helpful or that they mostly look out fo;hg12a016
16;state_current_education1;Primary and secondary education - To what extent do you think that the state is;hg12a017
17;state_should_education1;Primary and secondary education - To what extent do you think that the state sho;hg12a018
18;state_current_education2;Tertiary education - To what extent do you think that the state is currently res;hg12a019
19;state_should_education2;Tertiary education - To what extent do you think that the state should be respon;hg12a020
20;state_current_income;An adequate income for everyone - To what extent do you think that the state is;hg12a021
21;state_should_income;An adequate income for everyone - To what extent do you think that the state sho;hg12a022
22;state_current_jobs;Enough jobs - To what extent do you think that the state is currently responsibl;hg12a023
23;state_should_jobs;Enough jobs - To what extent do you think that the state should be responsible f;hg12a024
24;state_current_daycare;Child day care - To what extent do you think that the state is currently respons;hg12a025
25;state_should_daycare;Child day care - To what extent do you think that the state should be responsibl;hg12a026
26;state_current_upbringing;Child rearing - To what extent do you think that the state is currently responsi;hg12a027
27;state_should_upbringing;Child rearing - To what extent do you think that the state should be responsible;hg12a028
28;state_current_art;Art and culture - To what extent do you think that the state is currently respon;hg12a029
29;state_should_art;Art and culture - To what extent do you think that the state should be responsib;hg12a030
30;state_current_healthcare;Health care - To what extent do you think that the state is currently responsibl;hg12a031
31;state_should_healthcare;Health care - To what extent do you think that the state should be responsible f;hg12a032
32;state_current_housing;Sufficient affordable housing - To what extent do you think that the state is cu;hg12a033
33;state_should_housing;Sufficient affordable housing - To what extent do you think that the state shoul;hg12a034
34;state_current_safety;Public space safety - To what extent do you think that the state is currently re;hg12a035
35;state_should_safety;Public space safety - To what extent do you think that the state should be respo;hg12a036
36;parent_school_rules;Parents must make sure that their children obey the rules in school.;hg12a037
37;parent_school_upbringing;Parents too easily expect schools to take on childrearing tasks.;hg12a038
38;parent_school_accountable;Schools should be accountable to parents for the results that they achieve with;hg12a039
39;parent_school_support;Parents should support the school if the school or teacher takes measures agains;hg12a040
40;parent_school_homehelp;Parents should do more at home to help their children learn.;hg12a041
41;parent_school_busy;Even if parents are busy the school may expect them to help their children lear;hg12a042
42;parent_school_diploma;Youths should do their best to obtain a diploma otherwise they are not entitled;hg12a043
43;study_loan;The state should no longer give students a study grant but only a study loan un;hg12a044
44;extra_tuition;Students that take long to complete their study should also pay extra tuition fe;hg12a045
45;costs_study_inequality;If students only have the option of a study loan and the tuition fees go up the;hg12a046
46;state_parent_upbringing;To what extent do you think that the state should help every parent with child r;hg12a047
47;situation1_1;Her parents think that it?s not such a problem and that it will pass by itself.;hg12a048
48;situation1_2;Now it turns out that the teachers and care workers think that Lisa?s parents ha;hg12a049
49;situation1_3;They also think that Lisa?s development is at serious risk. Do you think that in;hg12a050
50;situation2_1;His parents think that it?s not such a problem and that it will pass by itself.;hg12a051
51;situation2_2;Now it turns out that the teachers and care workers think that Tom?s parents hav;hg12a052
52;situation2_3;They also think that Tom?s development is at serious risk. Do you think that in;hg12a053
53;situation3_1;Roos?s parents think that it?s not such a problem. Do you think the state should;hg12a054
54;situation3_2;Now it turns out that the teachers and care workers think that Roos?s parents ha;hg12a055
55;situation3_3;They also think that Roos?s development is at serious risk. Do you think that in;hg12a056
56;percentage_current_childcare;What percentage of the child care costs do parents currently pay on average;hg12a057
57;percentage_should_childcare;What percentage should parents pay?;hg12a058
58;state_childcare_costs;Please indicate what role you think the state should play in the following domai;hg12a059
59;state_childcare_availability;Please indicate what role you think the state should play in the following domai;hg12a060
60;state_childcare_quality;Please indicate what role you think the state should play in the following domai;hg12a061
61;childcare_market;Bad or expensive child care providers will be elbowed out of the market and simp;hg12a062
62;childcare_usage;Do you use child care or have you used child care in the past?;hg12a063
