new_name;labels;lp14a_EN_1.0p.dta;Unnamed: 3
questions_too_abstract;A lot of questions were too abstract for me.;lp14a129;0.0
30perc_of_hh_income;"lp14a001 is calculated as 30% of the current household income; for retired perso";lp14a001;
household_position;Position in the household;lp14a002;
occupation;Primary occupation;lp14a003;
dom_situation;Domestic situation;lp14a004;
age;Age of the household member;lp14a005;
net_monthly_income;Net monthly household income in Euros;lp14a006;
net_monthly_income_impute;imputed net monthly household income in Euros;lp14a007;
calculated_var_1;if lp14a021=response: lp14a008=lp14a021/ if lp14a021=empty and lp14a019=response;lp14a008;
calculated_var_2;if lp14a022=response: lp14a009=lp14a022/ if lp14a022=empty and lp14a020=response;lp14a009;
thought_retirement;How much have you thought about retirement?;lp14a010;
wld_move_after_retir_to_sav;When retired, [my partner/spouse and] I would be ready to move to another apartm;lp14a011;
h_cost_10y_retir;Please think about the first ten years when you will be retired. What do you exp;lp14a012;
h_cost_10y_retir_estim;Can you indicate roughly by how much you expect housing costs to be [if lp14a012;lp14a013;
min_month_exp_retir;What is the minimal level of monthly spending that [you and you partner/spouse /;lp14a014;
min_m_exp_comp_now;Can you indicate if this minimal amount of spending during retirement would be l;lp14a015;
min_m_exp_comp_now_l;[if lp14a003=9: How much lower than your current expenditures is this minimal am;lp14a016;
min_m_exp_comp_now_h;[if lp14a003=9: How much higher than your current expenditures is this minimal a;lp14a017;
min_m_exp_comp_now_oopc;When answering the previous question, did you take into account possible own con;lp14a018;
min_month_exp_retir_wo_hc;What is the minimal amount per month that [you and your partner/spouse / you] wo;lp14a019;
satis_month_exp_retir;This question is about the total amount of spending that applies to you [if (lp1;lp14a020;
min_month_exp_retir_b;minimal amount of spending after retirement: euro per month;lp14a021;
satis_month_exp_retir_b;spending that would be satisfactory to you after retirement: euro per month;lp14a022;
satis_m_exp_comp_now;Please indicate if during your retirement you would be satisfied with an amount;lp14a023;
satis_m_exp_comp_now_l;How much lower would be satisfactory to you?;lp14a024;
satis_m_exp_comp_now_h;How much higher would be satisfactory to you?;lp14a025;
estim_added_up;I tried to estimate [our/my] spending for housing, food, insurance etc. and to a;lp14a026;
estim_frac_current_exp;I thought [we/I] would need a fraction of our current monthly expenditures.;lp14a027;
estim_frac_current_inc;I thought [we/I] would need a fraction of our current monthly income.;lp14a028;
estim_advice;I was recalling advice that I got from an expert or something I read.;lp14a029;
spending_uncertain;With regard to the previous questions on spending during your retirement, to wha;lp14a030;
prob_with_daily_tasks;Do [you or your partner/you] experience problems with daily activities or with y;lp14a031;
higher_cons_eating;Please indicate for each of the categories below if [your or your partners/your;lp14a032;
higher_cons_clothes;Please indicate for each of the categories below if [your or your partners/your;lp14a033;
higher_cons_housing;Please indicate for each of the categories below if [your or your partners/your;lp14a034;
higher_cons_insur;Please indicate for each of the categories below if [your or your partners/your;lp14a035;
higher_cons_hobbies;Please indicate for each of the categories below if [your or your partners/your;lp14a036;
higher_cons_comm;Please indicate for each of the categories below if [your or your partners/your;lp14a037;
higher_cons_transp;Please indicate for each of the categories below if [your or your partners/your;lp14a038;
higher_cons_total;Have [your or your partners/your] health limitations led to lower or higher ove;lp14a039;
diff_ends_meet;Was it easier or more difficult to make ends meet for [you or your partner (at t;lp14a040;
higher_cons_eating_b;Please indicate for each of the categories below if [your or your partners/your;lp14a041;
higher_cons_clothes_b;Please indicate for each of the categories below if [your or your partners/your;lp14a042;
higher_cons_housing_b;Please indicate for each of the categories below if [your or your partners/your;lp14a043;
higher_cons_insur_b;Please indicate for each of the categories below if [your or your partners/your;lp14a044;
higher_cons_hobbies_b;Please indicate for each of the categories below if [your or your partners/your;lp14a045;
higher_cons_comm_b;Please indicate for each of the categories below if [your or your partners/your;lp14a046;
higher_cons_transp_b;Please indicate for each of the categories below if [your or your partners/your;lp14a047;
higher_cons_total_b;Do you think [your or your partners/your] health limitations would lead to lowe;lp14a048;
diff_ends_meet_b;Do you think it would be easier or more difficult to make ends meet for [you and;lp14a049;
chance_ltcare_1yplus;How high would you estimate the chance that you would need paid longterm persona;lp14a050;
chance_ltcare_3yplus;How high would you estimate the change that you would need paid longterm persona;lp14a051;
wtp_nursing_home_lux;Imagine you will end up in a nursing home. How much extra could and would you wa;lp14a052;
saved_for_future_hc;Have [you and your partner/you] put money aside to provide for possible future h;lp14a053;
saved_for_future_hc_amt;How much money in total have [you and your partner/you] put aside for possible f;lp14a054;
daily_tasks_uncertain;With regard to the previous questions about limitations in daily activities: Eve;lp14a055;
pension_fund_abp;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a056;
pension_fund_pggm;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a057;
pension_fund_met;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a058;
pension_fund_hec;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a059;
pension_fund_detailh;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a060;
pension_fund_bouw;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a061;
pension_fund_personeelsd ;With which pension funds/insurers [do/did] you have an arrangement in your [curr;lp14a062;
