new_name;labels;L_gaudecker2021_7_6p.dta;L_gaudecker2020_6_6p.dta;L_gaudecker2020_5_6p.dta;L_gaudecker2019_4_6p.dta;L_gaudecker2019_3_6p.dta;L_gaudecker2018_2_6p.dta;L_gaudecker2018_1_6p.dta
personal_id;Number of household member encrypted;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr
hh_id;Number of household encrypted;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr
date_fieldwork;Year and month of the field work period;maandnr;maandnr;maandnr;maandnr;maandnr;maandnr;maandnr
start_date;Date of start of questionnaire;DatumB;DatumB;DatumB;DatumB;DatumB;DatumB;DatumB
end_date;Date end of questionnaire;DatumE;DatumE;DatumE;DatumE;DatumE;DatumE;DatumE
start_time;Time start questionnaire;TijdB;TijdB;TijdB;TijdB;TijdB;TijdB;TijdB
end_time;Time end of questionnaire;TijdE;TijdE;TijdE;TijdE;TijdE;TijdE;TijdE
pay_out_question_w1;Random number 1 - 91;;;;;;arandom;arandom
pay_out_question_w3;Preload variable: Random number 1 - 91 wave 4;;;;arandom;crandom;;
pay_out_question_w2;;;;;;brandom;brandom;
pay_out_question_w4;;;;arandom;brandom;;;
pay_out_question_w4_temp_aex;;;;p_crandom;crandom;;;
pay_out_question_w5;Random number 1 - 91 wave 5;arandom;arandom;erandom;;;;
pay_out_question_w6;Random number 1 - 91 wave 6;;frandom;;;;;
pay_out_question_w7;Random number 1 - 91 wave 7;grandom;;;;;;
check_aex_1_yes;On 31 October 2018 we look at how the AEX has developed. Suppose the AEX e;check_aex;check_aex;check_aex;check_aex;check_aex;check_aex;check_aex
check_aex_2_yes;On 31 October 2018 we look at how the AEX has developed. Suppose the AEX e;check_aex2;check_aex2;check_aex2;check_aex2;check_aex2;check_aex2;check_aex2
check_wheel_1_no;Imagine that six months have passed and you re-enter a questionnaire;check_rad;check_rad;check_rad;check_rad;check_rad;check_rad;check_rad
check_wheel_2_no;Imagine that six months have passed and you re-enter a questionnaire;check_rad2;check_rad2;check_rad2;check_rad2;check_rad2;check_rad2;check_rad2
duration_in_sec;Duration of the questionnaire in seconds;duur;duur;duur;duur;duur;duur;duur
questionnaire_difficult;Did you find it difficult to answer the questions?;eva2t1;eva2t1;eva2t1;eva2t1;eva2t1;eva2t1;eva2t1
questionnaire_clear;Did you find the questions clear?;eva2t2;eva2t2;eva2t2;eva2t2;eva2t2;eva2t2;eva2t2
