new_name;labels;L_HMG2019_2_7p.dta
;Mobile layout;A__mobile
;welke zin wordt op plek 1 getoond.;Aperm__1
;welke zin wordt op plek 2 getoond.;Aperm__2
;welke zin wordt op plek 3 getoond.;Aperm__3
;Datum begin vragenlijst;DatumB
;Datum einde vragenlijst;DatumE
;Leeftijd Kind 10;Kid10_KidLftd
;Opleiding Kind 10;Kid10_KidOpl
;Geslacht Kind 10;Kid10_KidSex
;Leeftijd Kind 1;Kid1_KidLftd
;Opleiding Kind 1;Kid1_KidOpl
;Geslacht Kind 1;Kid1_KidSex
;Leeftijd Kind 2;Kid2_KidLftd
;Opleiding Kind 2;Kid2_KidOpl
;Geslacht Kind 2;Kid2_KidSex
;Leeftijd Kind 3;Kid3_KidLftd
;Opleiding Kind 3;Kid3_KidOpl
;Geslacht Kind 3;Kid3_KidSex
;Leeftijd Kind 4;Kid4_KidLftd
;Opleiding Kind 4;Kid4_KidOpl
;Geslacht Kind 4;Kid4_KidSex
;Leeftijd Kind 5;Kid5_KidLftd
;Opleiding Kind 5;Kid5_KidOpl
;Geslacht Kind 5;Kid5_KidSex
;Leeftijd Kind 6;Kid6_KidLftd
;Opleiding Kind 6;Kid6_KidOpl
;Geslacht Kind 6;Kid6_KidSex
;Leeftijd Kind 7;Kid7_KidLftd
;Opleiding Kind 7;Kid7_KidOpl
;Geslacht Kind 7;Kid7_KidSex
;Leeftijd Kind 8;Kid8_KidLftd
;Opleiding Kind 8;Kid8_KidOpl
;Geslacht Kind 8;Kid8_KidSex
;Leeftijd Kind 9;Kid9_KidLftd
;Opleiding Kind 9;Kid9_KidOpl
;Geslacht Kind 9;Kid9_KidSex
;Tijd begin vragenlijst;TijdB
;Tijd einde vragenlijst;TijdE
hh_members;Aantal leden in het huishouden;aantalhh
hh_children;Aantal thuiswonende kinderen in het huishouden;aantalki
;Geeft u aan hoeveel kinderen u hebt die geboren zijn tussen 1994 en 2012 (kinder;aantalki_1
;Hoeveel kinderen hebt u in totaal (ongeacht hun leeftijd)?;aantalki_2
;Doet de financiële zaken;account
;Welke naam is getoond bij v20. Random number 1 - 2;arandom
occupation;Belangrijkste bezigheid;belbezig
;Welke namen zijn getoond bij v21. Random number 1 - 4;brandom
gross_income_cat;Persoonlijk bruto maandinkomen in categorieën;brutocat
gross_income_hh;Bruto inkomen van het huishouden, geïmputeerd;brutohh_f
gross_income_incl_cat;Persoonlijk bruto maandinkomen in euros;brutoink
gross_income_imputed;Persoonlijk bruto inkomen, geïmputeerd;brutoink_f
civil_status;Burgerlijke staat;burgstat
;Sum variable;c1
;Sum variable;c10
;Sum variable;c11
;Sum variable;c12
;Sum variable;c13
;Sum variable;c14
;Sum variable;c15
;Sum variable;c16
;Sum variable;c17
;Sum variable;c18
;Sum variable;c19
;Sum variable;c2
;Sum variable;c20
;Sum variable;c21
;Sum variable;c22
;Sum variable;c23
;Sum variable;c24
;Sum variable;c25
;Sum variable;c3
;Sum variable;c4
;Sum variable;c5
;Sum variable;c6
;Sum variable;c7
;Sum variable;c8
;Sum variable;c9
;Als twee antwoorden de hoogste zijn: welke wordt dan op het volgende scherm (bij;crandom
;Als drie antwoorden even hoog zijn: welke wordt dan op het volgende scherm (bij ;drandom
;Duur vragenlijst in seconden;duur
;Vond u het moeilijk om de vragen te beantwoorden?;eva2t1
;Vond u de vragen duidelijk?;eva2t2
;Heeft de vragenlijst u aan het denken gezet?;eva2t3
;Vond u het onderwerp interessant?;eva2t4
;Vond u het plezierig om de vragen in te vullen?;eva2t5
;U kunt uw opmerking hieronder invullen.;evaopm
birth_year;Geboortejaar;gebjaar
gender;Geslacht;geslacht
live_together_read_in;ingelezen variabele: het huishoudhoofd woont samen met een partner (gehuwd of on;inpartner
;ingelezen variabele: Positie in het huishouden;inpositie
age;Leeftijd van lid huishouden;leeftijd
age_cbs;Leeftijd in CBS-categorieën;lftdcat
hh_head_age;Leeftijd van het huishoudhoofd;lftdhhh
date_fieldwork;Jaar en maand van de veldwerkperiode;maandnr
net_income_original;Persoonlijk netto inkomen, oorspronkelijke waarde;netinc
net_income_cat;Persoonlijk netto maandinkomen in categorieën;nettocat
net_income_hh;Netto inkomen van het huishouden, geïmputeerd;nettohh_f
net_income_incl_cat;Persoonlijk netto maandinkomen in euros;nettoink
net_income_imputed;Persoonlijk netto inkomen, geïmputeerd;nettoink_f
hh_id;Nummer van huishouden versleuteld;nohouse_encr
personal_id;Nummer van lid huishouden versleuteld;nomem_encr
education_cbs;Opleiding in CBS-categorieën;oplcat
education_diploma;Hoogste opleiding met diploma;oplmet
education_nodiploma;Hoogste opleiding ongeacht diploma;oplzon
;Hebt u verder nog opmerkingen over deze vragenlijst?;opm
live_together;Het huishoudhoofd woont samen met een partner (gehuwd of ongehuwd);partner
hh_position;Positie in het huishouden;positie
location_urban;Stedelijkheid woonplaats;sted
;;uitro
;Welke uitspraak past het best bij hoe de financiële zaken in uw huishouden zijn ;v1
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_1
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_10
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_2
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_3
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_4
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_5
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_6
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_7
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_8
;Toen u de middelbare school van uw kind koos, bij hoeveel middelbare scholen heb;v10_9
;Wat zou dan volgens u moeten bepalen naar welk schoolniveau een kind moet gaan? ;v11a
;Wat zou dan volgens u moeten bepalen naar welk schoolniveau een kind moet gaan? ;v11b
;Wat zou dan volgens u moeten bepalen naar welk schoolniveau een kind moet gaan? ;v11c
;Hoe groot is volgens u de kans dat uw kind Kind1 naar de universiteit zal gaan?;v12a_1
;Hoe groot is volgens u de kans dat uw kind Kind10 naar de universiteit zal gaan?;v12a_10
;Hoe groot is volgens u de kans dat uw kind Kind2 naar de universiteit zal gaan?;v12a_2
;Hoe groot is volgens u de kans dat uw kind Kind3 naar de universiteit zal gaan?;v12a_3
;Hoe groot is volgens u de kans dat uw kind Kind4 naar de universiteit zal gaan?;v12a_4
;Hoe groot is volgens u de kans dat uw kind Kind5 naar de universiteit zal gaan?;v12a_5
;Hoe groot is volgens u de kans dat uw kind Kind6 naar de universiteit zal gaan?;v12a_6
;Hoe groot is volgens u de kans dat uw kind Kind7 naar de universiteit zal gaan?;v12a_7
;Hoe groot is volgens u de kans dat uw kind Kind8 naar de universiteit zal gaan?;v12a_8
;Hoe groot is volgens u de kans dat uw kind Kind9 naar de universiteit zal gaan?;v12a_9
;Stelt u zich voor dat uw kind Kind1 naar de universiteit gaat. Wat is de kans da;v12b_1
;Stelt u zich voor dat uw kind Kind10 naar de universiteit gaat. Wat is de kans d;v12b_10
;Stelt u zich voor dat uw kind Kind2 naar de universiteit gaat. Wat is de kans da;v12b_2
;Stelt u zich voor dat uw kind Kind3 naar de universiteit gaat. Wat is de kans da;v12b_3
;Stelt u zich voor dat uw kind Kind4 naar de universiteit gaat. Wat is de kans da;v12b_4
;Stelt u zich voor dat uw kind Kind5 naar de universiteit gaat. Wat is de kans da;v12b_5
;Stelt u zich voor dat uw kind Kind6 naar de universiteit gaat. Wat is de kans da;v12b_6
;Stelt u zich voor dat uw kind Kind7 naar de universiteit gaat. Wat is de kans da;v12b_7
;Stelt u zich voor dat uw kind Kind8 naar de universiteit gaat. Wat is de kans da;v12b_8
;Stelt u zich voor dat uw kind Kind9 naar de universiteit gaat. Wat is de kans da;v12b_9
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_1
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_10
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_2
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_3
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_4
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_5
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_6
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_7
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_8
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a1_9
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_1
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_10
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_2
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_3
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_4
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_5
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_6
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_7
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_8
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a2_9
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_1
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_10
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_2
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_3
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_4
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_5
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_6
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_7
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_8
;Stel, de hoogste opleiding van uw kind is de middelbare school. Hoe groot is de ;v13a3_9
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind10 de middelbare scho;v13a_10
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind2 de middelbare schoo;v13a_2
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind3 de middelbare schoo;v13a_3
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind4 de middelbare schoo;v13a_4
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind5 de middelbare schoo;v13a_5
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind6 de middelbare schoo;v13a_6
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind7 de middelbare schoo;v13a_7
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind8 de middelbare schoo;v13a_8
;Stelt u zich voor dat de hoogste opleiding van uw kind Kind9 de middelbare schoo;v13a_9
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_1
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_10
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_2
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_3
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_4
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_5
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_6
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_7
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_8
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b1_9
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_1
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_10
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_2
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_3
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_4
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_5
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_6
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_7
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_8
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b2_9
;Stel, de hoogste opleiding van uw kind is de universiteit. Hoe groot is de kans ;v13b3_1
